DT,WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
2025-12-25,52,Ludhiana,Sourcing,328,1,0.30%
2025-12-25,52,Palakkad,Pod,328,1,0.30%
2025-12-25,52,Allahabad,Pod,66,1,1.52%
2025-12-25,52,Vellore,WH,424,1,0.24%
2025-12-25,52,Pondicherry,Pod,1136,4,0.35%
2025-12-25,52,Lucknow,WH,1115,1,0.09%
2025-12-25,52,Dehradun,Sourcing,597,2,0.34%
2025-12-25,52,Coimbatore,CX,3318,13,0.39%
2025-12-25,52,Kolkata,Pod,6557,28,0.43%
2025-12-25,52,Chennai,WH,21259,23,0.11%
2025-12-25,52,Thrissur,WH,2517,2,0.08%
2025-12-25,52,Delhi,Pod,11786,54,0.46%
2025-12-25,52,Chennai,Sourcing,21259,25,0.12%
2025-12-25,52,Central Goa,Pod,3951,19,0.48%
2025-12-25,52,Rajkot,Pod,327,3,0.92%
2025-12-25,52,Patna,Sourcing,729,2,0.27%
2025-12-25,52,Bikaner,Pod,58,1,1.72%
2025-12-25,52,Vapi,CX,239,1,0.42%
2025-12-25,52,Muzaffarpur,Pod,61,7,11.48%
2025-12-25,52,Thiruvananthapuram,CX,4706,12,0.26%
2025-12-25,52,Thiruvananthapuram,Sourcing,4706,4,0.09%
2025-12-25,52,Anantapur,Sourcing,385,1,0.26%
2025-12-25,52,Ongole,Pod,28,3,10.71%
2025-12-25,52,Dehradun,WH,597,1,0.17%
2025-12-25,52,Nashik,CX,698,1,0.14%
2025-12-25,52,Noida 1,,4269,2,0.05%
2025-12-25,52,Mumbai,Pod,32930,134,0.41%
2025-12-25,52,Jaipur,Pod,1609,7,0.44%
2025-12-25,52,Vellore,Pod,424,1,0.24%
2025-12-25,52,Ahmednagar,Pod,60,1,1.67%
2025-12-25,52,Jaipur,CX,1609,9,0.56%
2025-12-25,52,Mysore,Sourcing,2043,2,0.10%
2025-12-25,52,Kozhikode,Sourcing,1567,4,0.26%
2025-12-25,52,Chennai,Pod,21259,106,0.50%
2025-12-25,52,Guntur,Pod,1108,11,0.99%
2025-12-25,52,Thiruvananthapuram,WH,4706,1,0.02%
2025-12-26,52,Vizianagaram,CX,60,1,1.67%
2025-12-26,52,Nashik,WH,620,1,0.16%
2025-12-26,52,Lucknow,Sourcing,922,1,0.11%
2025-12-26,52,Pondicherry,Sourcing,975,1,0.10%
2025-12-26,52,Udaipur,Pod,305,3,0.98%
2025-12-26,52,Panipat,Pod,117,1,0.85%
2025-12-26,52,Delhi,WH,9892,23,0.23%
2025-12-26,52,Manipal,CX,655,3,0.46%
2025-12-26,52,Meerut,Sourcing,163,3,1.84%
2025-12-26,52,Mangaluru,WH,1851,3,0.16%
2025-12-26,52,Pune,WH,15086,28,0.19%
2025-12-26,52,Khammam,Pod,535,2,0.37%
2025-12-26,52,Davanagere,WH,103,2,1.94%
2025-12-26,52,Kanchipuram,Pod,226,1,0.44%
2025-12-26,52,Thiruvananthapuram,WH,4097,4,0.10%
2025-12-26,52,Ranchi,Pod,251,3,1.20%
2025-12-26,52,Kollam,Sourcing,591,1,0.17%
2025-12-26,52,Manipal,Sourcing,655,6,0.92%
2025-12-26,52,Tumakuru,CX,199,1,0.50%
2025-12-26,52,Pune,Sourcing,15086,23,0.15%
2025-12-26,52,Kanchipuram,CX,226,1,0.44%
2025-12-26,52,Guntur,Sourcing,959,3,0.31%
2025-12-26,52,Amritsar,Sourcing,139,1,0.72%
2025-12-26,52,Meerut,Pod,163,1,0.61%
2025-12-26,52,Gurgaon,Pod,6883,35,0.51%
2025-12-26,52,Vizianagaram,WH,60,2,3.33%
2025-12-26,52,Bangalore,Pod,49335,257,0.52%
2025-12-26,52,Ongole,Pod,18,1,5.56%
2025-12-26,52,Bangalore,Sourcing,49335,141,0.29%
2025-12-26,52,Manipal,Pod,655,5,0.76%
2025-12-26,52,Warangal,Pod,728,1,0.14%
2025-12-26,52,Kurnool,Pod,479,5,1.04%
2025-12-26,52,Hyderabad,Sourcing,26913,39,0.14%
2025-12-26,52,Kochi,CX,6987,1,0.01%
2025-12-26,52,Mysore,WH,1787,1,0.06%
2025-12-26,52,Anantapur,Pod,410,3,0.73%
2025-12-26,52,Kolkata,Pod,5571,21,0.38%
2025-12-26,52,Kolhapur,Pod,120,1,0.83%
2025-12-26,52,Mysore,Sourcing,1787,2,0.11%
2025-12-26,52,Bhopal,Sourcing,533,1,0.19%
2025-12-26,52,Bhubaneswar,Pod,2442,10,0.41%
2025-12-26,52,Meerut,WH,163,1,0.61%
2025-12-26,52,Vadodara,Pod,897,10,1.11%
2025-12-26,52,Guwahati,Sourcing,572,1,0.17%
2025-12-26,52,Vadodara,Sourcing,897,4,0.45%
2025-12-26,52,Bhubaneswar,Sourcing,2442,4,0.16%
2025-12-26,52,Surat,Pod,1058,11,1.04%
2025-12-26,52,Salem,Sourcing,666,1,0.15%
2025-12-26,52,Chennai,WH,19923,8,0.04%
2025-12-26,52,Patiala,Pod,112,4,3.57%
2025-12-26,52,Tirupati,CX,1254,2,0.16%
2025-12-26,52,Ajmer,CX,48,1,2.08%
2025-12-26,52,Pune,Pod,15086,97,0.64%
2025-12-26,52,Noida,CX,1657,1,0.06%
2025-12-26,52,Thiruvalla,WH,299,1,0.33%
2025-12-26,52,Dibrugarh,Sourcing,179,1,0.56%
2025-12-26,52,Thiruvalla,Pod,299,1,0.33%
2025-12-26,52,Chandigarh,WH,2496,2,0.08%
2025-12-26,52,Belgaum,Pod,259,1,0.39%
2025-12-26,52,Bhopal,CX,533,1,0.19%
2025-12-26,52,Lucknow,Pod,922,4,0.43%
2025-12-26,52,Kakinada,CX,348,1,0.29%
2025-12-26,52,Surat,WH,1058,1,0.09%
2025-12-26,52,Delhi,CX,9892,14,0.14%
2025-12-26,52,Delhi,Sourcing,9892,26,0.26%
2025-12-26,52,Vizag,Sourcing,2066,2,0.10%
2025-12-26,52,Erode,CX,287,2,0.70%
2025-12-26,52,Nashik,Sourcing,620,2,0.32%
2025-12-26,52,Dehradun,CX,577,2,0.35%
2025-12-26,52,Chennai,Sourcing,19923,17,0.09%
2025-12-26,52,Chennai,Pod,19923,126,0.63%
2025-12-26,52,Noida 1,Sourcing,3738,10,0.27%
2025-12-26,52,Lucknow,CX,922,1,0.11%
2025-12-26,52,Jamshedpur,WH,129,1,0.78%
2025-12-26,52,Ujjain,Pod,96,1,1.04%
2025-12-26,52,Coimbatore,Pod,3126,11,0.35%
2025-12-26,52,Trichy,Pod,882,4,0.45%
2025-12-26,52,Kota,Pod,232,1,0.43%
2025-12-26,52,Ludhiana,Pod,280,1,0.36%
2025-12-26,52,Kakinada,Pod,348,1,0.29%
2025-12-26,52,Bhopal,Pod,533,3,0.56%
2025-12-26,52,Vellore,CX,424,1,0.24%
2025-12-26,52,Surat,Sourcing,1058,3,0.28%
2025-12-26,52,Mumbai,Sourcing,27266,74,0.27%
2025-12-26,52,Surat,CX,1058,1,0.09%
2025-12-26,52,Bangalore,CX,49335,60,0.12%
2025-12-26,52,Thiruvananthapuram,CX,4097,6,0.15%
2025-12-26,52,Dibrugarh,Pod,179,2,1.12%
2025-12-26,52,Tirunelveli,Pod,485,1,0.21%
2025-12-26,52,Sri Ganganagar,CX,94,1,1.06%
2025-12-26,52,Indore,CX,1034,2,0.19%
2025-12-26,52,Kollam,Pod,591,2,0.34%
2025-12-26,52,Kochi,WH,6987,4,0.06%
2025-12-26,52,Pondicherry,CX,975,1,0.10%
2025-12-26,52,Gurgaon,WH,6883,13,0.19%
2025-12-26,52,Indore,Sourcing,1034,3,0.29%
2025-12-26,52,Erode,Pod,287,2,0.70%
2025-12-26,52,Kochi,Pod,6987,26,0.37%
2025-12-26,52,Kakinada,Sourcing,348,2,0.57%
2025-12-26,52,Ranchi,CX,251,1,0.40%
2025-12-26,52,Vellore,Pod,424,3,0.71%
2025-12-26,52,Noida,Sourcing,1657,6,0.36%
2025-12-26,52,Nagpur,CX,797,1,0.13%
2025-12-26,52,Patna,Pod,595,3,0.50%
2025-12-26,52,Ambala,Sourcing,84,1,1.19%
2025-12-26,52,Jaipur,Sourcing,1334,2,0.15%
2025-12-26,52,Faridabad,CX,681,3,0.44%
2025-12-26,52,Mangaluru,Sourcing,1851,4,0.22%
2025-12-26,52,Shivamogga,Pod,270,2,0.74%
2025-12-26,52,Bhubaneswar,WH,2442,1,0.04%
2025-12-26,52,Thrissur,Sourcing,2140,1,0.05%
2025-12-26,52,Chandigarh,CX,2496,6,0.24%
2025-12-26,52,Tirupati,Pod,1254,4,0.32%
2025-12-26,52,Bangalore,WH,49335,57,0.12%
2025-12-26,52,Vapi,Pod,252,2,0.79%
2025-12-26,52,Noida,,1657,1,0.06%
2025-12-26,52,Bikaner,Pod,45,1,2.22%
2025-12-26,52,Dehradun,Pod,577,1,0.17%
2025-12-26,52,Kolkata,WH,5571,6,0.11%
2025-12-26,52,Chennai,CX,19923,51,0.26%
2025-12-26,52,Varanasi,Pod,695,7,1.01%
2025-12-26,52,Guntur,CX,959,4,0.42%
2025-12-26,52,Vizag,Pod,2066,12,0.58%
2025-12-26,52,Salem,Pod,666,3,0.45%
2025-12-26,52,Kolkata,Sourcing,5571,14,0.25%
2025-12-26,52,Hubli,CX,219,1,0.46%
2025-12-26,52,Madurai,Pod,973,6,0.62%
2025-12-26,52,Chandigarh,Pod,2496,16,0.64%
2025-12-26,52,Nagpur,Pod,797,5,0.63%
2025-12-26,52,Tirupati,WH,1254,2,0.16%
2025-12-26,52,Noida 1,CX,3738,5,0.13%
2025-12-26,52,Aligarh,Pod,163,1,0.61%
2025-12-26,52,Pune,CX,15086,35,0.23%
2025-12-26,52,Kolkata,CX,5571,4,0.07%
2025-12-26,52,Bhubaneswar,CX,2442,4,0.16%
2025-12-26,52,Ahmedabad,WH,3052,2,0.07%
2025-12-26,52,Vizag,WH,2066,2,0.10%
2025-12-26,52,Mumbai,Pod,27266,79,0.29%
2025-12-26,52,Central Goa,CX,3651,10,0.27%
2025-12-26,52,Warangal,WH,728,1,0.14%
2025-12-26,52,Mumbai,WH,27266,48,0.18%
2025-12-26,52,Jhansi,Pod,43,1,2.33%
2025-12-26,52,Coimbatore,WH,3126,2,0.06%
2025-12-26,52,Noida 1,Pod,3738,17,0.45%
2025-12-26,52,Coimbatore,CX,3126,9,0.29%
2025-12-26,52,Central Goa,Pod,3651,6,0.16%
2025-12-26,52,Sri Ganganagar,Pod,94,2,2.13%
2025-12-26,52,Aurangabad,Pod,161,1,0.62%
2025-12-26,52,Muzaffarpur,Pod,43,1,2.33%
2025-12-26,52,Thanjavur,CX,452,4,0.89%
2025-12-26,52,Vijayawada,Pod,2556,21,0.82%
2025-12-26,52,Tirupur,Pod,471,3,0.64%
2025-12-26,52,Agra,Pod,65,1,1.54%
2025-12-26,52,Davanagere,CX,103,1,0.97%
2025-12-26,52,Jamshedpur,Pod,129,2,1.55%
2025-12-26,52,Thanjavur,Sourcing,452,1,0.22%
2025-12-26,52,Karaikkudi,CX,165,1,0.61%
2025-12-26,52,Rohtak,Pod,124,1,0.81%
2025-12-26,52,Vijayawada,Sourcing,2556,5,0.20%
2025-12-26,52,Moradabad,Pod,66,2,3.03%
2025-12-26,52,Rajkot,CX,286,2,0.70%
2025-12-26,52,Patna,Sourcing,595,2,0.34%
2025-12-26,52,Ahmedabad,CX,3052,8,0.26%
2025-12-26,52,Mysore,CX,1787,1,0.06%
2025-12-26,52,Faridabad,Pod,681,5,0.73%
2025-12-26,52,Mysore,Pod,1787,8,0.45%
2025-12-26,52,Ajmer,Pod,48,1,2.08%
2025-12-26,52,Madurai,Sourcing,973,2,0.21%
2025-12-26,52,Tirupati,Sourcing,1254,3,0.24%
2025-12-26,52,Siliguri,Pod,212,3,1.42%
2025-12-26,52,Coimbatore,Sourcing,3126,4,0.13%
2025-12-26,52,Vadodara,CX,897,5,0.56%
2025-12-26,52,Kanpur,Pod,104,1,0.96%
2025-12-26,52,Kozhikode,Pod,1447,8,0.55%
2025-12-26,52,Guwahati,Pod,572,5,0.87%
2025-12-26,52,Vijayawada,CX,2556,4,0.16%
2025-12-26,52,Vijayawada,WH,2556,10,0.39%
2025-12-26,52,Chandigarh,Sourcing,2496,10,0.40%
2025-12-26,52,Moradabad,WH,66,1,1.52%
2025-12-26,52,Panipat,Sourcing,117,1,0.85%
2025-12-26,52,Guntur,WH,959,1,0.10%
2025-12-26,52,Karimnagar,Pod,310,1,0.32%
2025-12-26,52,Kurnool,WH,479,1,0.21%
2025-12-26,52,Vellore,WH,424,1,0.24%
2025-12-26,52,Nellore,Pod,525,1,0.19%
2025-12-26,52,Kottayam,Pod,448,1,0.22%
2025-12-26,52,Hyderabad,CX,26913,60,0.22%
2025-12-26,52,Gurgaon,CX,6883,7,0.10%
2025-12-26,52,Indore,Pod,1034,5,0.48%
2025-12-26,52,Warangal,Sourcing,728,1,0.14%
2025-12-26,52,Kakinada,WH,348,1,0.29%
2025-12-26,52,Anantapur,WH,410,2,0.49%
2025-12-26,52,Belgaum,CX,259,1,0.39%
2025-12-26,52,Trichy,Sourcing,882,3,0.34%
2025-12-26,52,Hubli,Pod,219,3,1.37%
2025-12-26,52,Delhi,Pod,9892,35,0.35%
2025-12-26,52,Jaipur,CX,1334,9,0.67%
2025-12-26,52,Rajkot,Pod,286,2,0.70%
2025-12-26,52,Karaikkudi,Pod,165,1,0.61%
2025-12-26,52,Trichy,CX,882,2,0.23%
2025-12-26,52,Karimnagar,Sourcing,310,1,0.32%
2025-12-26,52,Ahmedabad,Pod,3052,31,1.02%
2025-12-26,52,Central Goa,Sourcing,3651,4,0.11%
2025-12-26,52,Kochi,Sourcing,6987,13,0.19%
2025-12-26,52,Noida,Pod,1657,9,0.54%
2025-12-26,52,Mangaluru,CX,1851,5,0.27%
2025-12-26,52,Patna,CX,595,1,0.17%
2025-12-26,52,Thiruvananthapuram,Pod,4097,14,0.34%
2025-12-26,52,Hyderabad,Pod,26913,143,0.53%
2025-12-26,52,Vadodara,WH,897,2,0.22%
2025-12-26,52,Mumbai,CX,27266,45,0.17%
2025-12-26,52,Hyderabad,WH,26913,28,0.10%
2025-12-26,52,Guntur,Pod,959,11,1.15%
2025-12-26,52,Noida 1,WH,3738,6,0.16%
2025-12-26,52,Karur,Pod,254,2,0.79%
2025-12-26,52,Ludhiana,CX,280,1,0.36%
2025-12-26,52,Vizag,CX,2066,4,0.19%
2025-12-26,52,Thrissur,Pod,2140,4,0.19%
2025-12-26,52,Kurnool,Sourcing,479,2,0.42%
2025-12-26,52,Gwalior,Pod,125,2,1.60%
2025-12-26,52,Thiruvananthapuram,Sourcing,4097,5,0.12%
2025-12-26,52,Agra,Sourcing,65,1,1.54%
2025-12-26,52,Nanded,CX,19,1,5.26%
2025-12-26,52,Mangaluru,Pod,1851,5,0.27%
2025-12-26,52,Gurgaon,Sourcing,6883,12,0.17%
2025-12-26,52,Vapi,CX,252,1,0.40%
2025-12-26,52,Nashik,Pod,620,8,1.29%
2025-12-26,52,Rudrapur,Pod,36,2,5.56%
2025-12-26,52,Belgaum,Sourcing,259,1,0.39%
2025-12-26,52,Jaipur,Pod,1334,8,0.60%
2025-12-26,52,Jaipur,WH,1334,2,0.15%
2025-12-26,52,Ahmedabad,Sourcing,3052,12,0.39%
2025-12-26,52,Jalandhar,Pod,92,1,1.09%
2025-12-26,52,Kurnool,CX,479,1,0.21%
2025-12-26,52,Nellore,Sourcing,525,1,0.19%
2025-12-27,52,Kochi,WH,7391,3,0.04%
2025-12-27,52,Noida,CX,1737,1,0.06%
2025-12-27,52,Eluru,Pod,34,1,2.94%
2025-12-27,52,Chennai,WH,20643,24,0.12%
2025-12-27,52,Chennai,CX,20643,36,0.17%
2025-12-27,52,Delhi,Sourcing,10455,28,0.27%
2025-12-27,52,Karnal,Sourcing,40,1,2.50%
2025-12-27,52,Mysore,WH,2026,2,0.10%
2025-12-27,52,Mumbai,Pod,28805,106,0.37%
2025-12-27,52,Chennai,Pod,20643,114,0.55%
2025-12-27,52,Delhi,CX,10455,14,0.13%
2025-12-27,52,Kozhikode,WH,1416,2,0.14%
2025-12-27,52,Khammam,Sourcing,548,1,0.18%
2025-12-27,52,Thiruvallur,Pod,185,1,0.54%
2025-12-27,52,Surat,Pod,1009,10,0.99%
2025-12-27,52,Patiala,Sourcing,106,2,1.89%
2025-12-27,52,Gurgaon,Sourcing,6692,16,0.24%
2025-12-27,52,Mangaluru,Sourcing,1926,3,0.16%
2025-12-27,52,Kurnool,Pod,520,4,0.77%
2025-12-27,52,Tirupur,Pod,454,2,0.44%
2025-12-27,52,Panipat,WH,117,1,0.85%
2025-12-27,52,Mangaluru,CX,1926,2,0.10%
2025-12-27,52,Vadodara,Sourcing,865,1,0.12%
2025-12-27,52,Mumbai,WH,28805,48,0.17%
2025-12-27,52,Gurgaon,Pod,6692,24,0.36%
2025-12-27,52,Vellore,Sourcing,428,2,0.47%
2025-12-27,52,Pune,Pod,15589,104,0.67%
2025-12-27,52,Central Goa,Sourcing,3857,7,0.18%
2025-12-27,52,Thanjavur,Sourcing,431,1,0.23%
2025-12-27,52,Jaipur,WH,1391,1,0.07%
2025-12-27,52,Jabalpur,Pod,106,1,0.94%
2025-12-27,52,Patiala,WH,106,1,0.94%
2025-12-27,52,Vapi,Pod,220,1,0.45%
2025-12-27,52,Mumbai,Sourcing,28805,78,0.27%
2025-12-27,52,Surat,CX,1009,3,0.30%
2025-12-27,52,Kakinada,Sourcing,350,2,0.57%
2025-12-27,52,Delhi,WH,10455,17,0.16%
2025-12-27,52,Madurai,CX,1020,4,0.39%
2025-12-27,52,Hyderabad,WH,27868,23,0.08%
2025-12-27,52,Bangalore,WH,50924,75,0.15%
2025-12-27,52,Noida 1,WH,4285,8,0.19%
2025-12-27,52,Nagpur,WH,612,1,0.16%
2025-12-27,52,Roorkee,Pod,42,1,2.38%
2025-12-27,52,Vellore,Pod,428,2,0.47%
2025-12-27,52,Mysore,CX,2026,3,0.15%
2025-12-27,52,Thanjavur,Pod,431,1,0.23%
2025-12-27,52,Mangaluru,WH,1926,2,0.10%
2025-12-27,52,Kurnool,Sourcing,520,1,0.19%
2025-12-27,52,Karimnagar,Sourcing,305,1,0.33%
2025-12-27,52,Madurai,Pod,1020,4,0.39%
2025-12-27,52,Moradabad,CX,85,1,1.18%
2025-12-27,52,Nashik,CX,606,1,0.17%
2025-12-27,52,Hyderabad,CX,27868,50,0.18%
2025-12-27,52,Bangalore,Sourcing,50924,114,0.22%
2025-12-27,52,Nagercoil,Pod,319,1,0.31%
2025-12-27,52,Noida,Sourcing,1737,2,0.12%
2025-12-27,52,Ongole,CX,31,1,3.23%
2025-12-27,52,Anantapur,Sourcing,384,2,0.52%
2025-12-27,52,Muzaffarpur,Sourcing,33,2,6.06%
2025-12-27,52,Ahmednagar,WH,47,1,2.13%
2025-12-27,52,Hyderabad,Sourcing,27868,36,0.13%
2025-12-27,52,Kanchipuram,Pod,230,1,0.43%
2025-12-27,52,Lucknow,Sourcing,1073,1,0.09%
2025-12-27,52,Udaipur,Sourcing,330,1,0.30%
2025-12-27,52,Thiruvananthapuram,Sourcing,4345,5,0.12%
2025-12-27,52,Kolkata,Pod,6237,30,0.48%
2025-12-27,52,Tirupur,CX,454,1,0.22%
2025-12-27,52,Patna,Pod,655,6,0.92%
2025-12-27,52,Vadodara,Pod,865,8,0.92%
2025-12-27,52,Lonavla,Sourcing,82,1,1.22%
2025-12-27,52,Hubli,WH,203,1,0.49%
2025-12-27,52,Kochi,Sourcing,7391,9,0.12%
2025-12-27,52,Bhubaneswar,Sourcing,2608,9,0.35%
2025-12-27,52,Tirunelveli,Pod,490,1,0.20%
2025-12-27,52,Bangalore,CX,50924,61,0.12%
2025-12-27,52,Lucknow,WH,1073,2,0.19%
2025-12-27,52,Pune,Sourcing,15589,24,0.15%
2025-12-27,52,Ahmedabad,WH,3159,7,0.22%
2025-12-27,52,Vijayawada,Pod,2553,16,0.63%
2025-12-27,52,Thiruvananthapuram,WH,4345,1,0.02%
2025-12-27,52,Lonavla,Pod,82,1,1.22%
2025-12-27,52,Ranchi,Pod,246,2,0.81%
2025-12-27,52,Nashik,Pod,606,4,0.66%
2025-12-27,52,Muzaffarpur,Pod,33,1,3.03%
2025-12-27,52,Bilaspur,Pod,60,1,1.67%
2025-12-27,52,Kanpur,Pod,113,1,0.89%
2025-12-27,52,Nagercoil,Sourcing,319,2,0.63%
2025-12-27,52,Panipat,Sourcing,117,1,0.85%
2025-12-27,52,Raipur,Pod,185,1,0.54%
2025-12-27,52,Vadodara,CX,865,2,0.23%
2025-12-27,52,Kanchipuram,CX,230,1,0.43%
2025-12-27,52,Indore,CX,1095,3,0.27%
2025-12-27,52,Faridabad,Pod,726,4,0.55%
2025-12-27,52,Vizag,WH,2180,2,0.09%
2025-12-27,52,Kochi,Pod,7391,15,0.20%
2025-12-27,52,Central Goa,Pod,3857,16,0.41%
2025-12-27,52,Warangal,WH,695,5,0.72%
2025-12-27,52,Aurangabad,Pod,188,2,1.06%
2025-12-27,52,Coimbatore,CX,3155,13,0.41%
2025-12-27,52,Thrissur,WH,2265,1,0.04%
2025-12-27,52,Mumbai,CX,28805,57,0.20%
2025-12-27,52,Bangalore,Pod,50924,287,0.56%
2025-12-27,52,Hyderabad,Pod,27868,186,0.67%
2025-12-27,52,Vapi,Sourcing,220,2,0.91%
2025-12-27,52,Vijayawada,CX,2553,3,0.12%
2025-12-27,52,Ahmedabad,CX,3159,9,0.28%
2025-12-27,52,Salem,Pod,708,3,0.42%
2025-12-27,52,Ludhiana,Sourcing,277,5,1.81%
2025-12-27,52,Thanjavur,WH,431,1,0.23%
2025-12-27,52,Anantapur,Pod,384,1,0.26%
2025-12-27,52,Ludhiana,WH,277,1,0.36%
2025-12-27,52,Mangaluru,Pod,1926,8,0.42%
2025-12-27,52,Siliguri,Pod,195,2,1.03%
2025-12-27,52,Davanagere,Pod,123,1,0.81%
2025-12-27,52,Dehradun,CX,579,2,0.35%
2025-12-27,52,Aligarh,Pod,134,3,2.24%
2025-12-27,52,Vizag,Pod,2180,17,0.78%
2025-12-27,52,Bhubaneswar,CX,2608,5,0.19%
2025-12-27,52,Varanasi,Pod,950,4,0.42%
2025-12-27,52,Tirupati,WH,1319,2,0.15%
2025-12-27,52,Bhubaneswar,Pod,2608,7,0.27%
2025-12-27,52,Tirupati,CX,1319,1,0.08%
2025-12-27,52,Bhopal,Pod,524,3,0.57%
2025-12-27,52,Indore,WH,1095,1,0.09%
2025-12-27,52,Kottayam,CX,484,1,0.21%
2025-12-27,52,Pondicherry,Pod,1090,5,0.46%
2025-12-27,52,Rajkot,Pod,352,2,0.57%
2025-12-27,52,Kollam,Pod,665,3,0.45%
2025-12-27,52,Warangal,CX,695,4,0.58%
2025-12-27,52,Moradabad,Sourcing,85,1,1.18%
2025-12-27,52,Shivamogga,WH,251,1,0.40%
2025-12-27,52,Coimbatore,Sourcing,3155,6,0.19%
2025-12-27,52,Nagpur,CX,612,1,0.16%
2025-12-27,52,Central Goa,CX,3857,7,0.18%
2025-12-27,52,Patiala,CX,106,1,0.94%
2025-12-27,52,Madurai,Sourcing,1020,2,0.20%
2025-12-27,52,Hubli,CX,203,1,0.49%
2025-12-27,52,Nellore,WH,607,2,0.33%
2025-12-27,52,Cuttack,Sourcing,244,1,0.41%
2025-12-27,52,Thanjavur,CX,431,1,0.23%
2025-12-27,52,Pune,,15589,1,0.01%
2025-12-27,52,Warangal,Pod,695,2,0.29%
2025-12-27,52,Kanpur,CX,113,2,1.77%
2025-12-27,52,Kakinada,WH,350,1,0.29%
2025-12-27,52,Trichy,Pod,983,5,0.51%
2025-12-27,52,Hubli,Pod,203,1,0.49%
2025-12-27,52,Pondicherry,WH,1090,1,0.09%
2025-12-27,52,Kurnool,WH,520,1,0.19%
2025-12-27,52,Khammam,WH,548,1,0.18%
2025-12-27,52,Noida 1,Pod,4285,26,0.61%
2025-12-27,52,Dehradun,Pod,579,6,1.04%
2025-12-27,52,Ahmednagar,CX,47,1,2.13%
2025-12-27,52,Salem,Sourcing,708,2,0.28%
2025-12-27,52,Thrissur,Sourcing,2265,4,0.18%
2025-12-27,52,Pune,CX,15589,41,0.26%
2025-12-27,52,Thrissur,Pod,2265,6,0.26%
2025-12-27,52,Varanasi,Sourcing,950,2,0.21%
2025-12-27,52,Karaikkudi,Pod,184,1,0.54%
2025-12-27,52,Patna,WH,655,2,0.31%
2025-12-27,52,Surat,Sourcing,1009,4,0.40%
2025-12-27,52,Davanagere,CX,123,1,0.81%
2025-12-27,52,Noida 1,CX,4285,9,0.21%
2025-12-27,52,Tirupati,Sourcing,1319,2,0.15%
2025-12-27,52,Noida 1,Sourcing,4285,6,0.14%
2025-12-27,52,Jamshedpur,Pod,195,2,1.03%
2025-12-27,52,Silchar,Pod,104,2,1.92%
2025-12-27,52,Rudrapur,Sourcing,34,1,2.94%
2025-12-27,52,Khammam,Pod,548,5,0.91%
2025-12-27,52,Bareilly,Pod,70,1,1.43%
2025-12-27,52,Chandigarh,CX,2614,5,0.19%
2025-12-27,52,Patna,Sourcing,655,1,0.15%
2025-12-27,52,Thiruvananthapuram,Pod,4345,14,0.32%
2025-12-27,52,Vizag,Sourcing,2180,9,0.41%
2025-12-27,52,Guntur,Pod,938,4,0.43%
2025-12-27,52,Ahmednagar,Sourcing,47,1,2.13%
2025-12-27,52,Mysore,Sourcing,2026,4,0.20%
2025-12-27,52,Guntur,CX,938,1,0.11%
2025-12-27,52,Thiruvalla,Pod,347,1,0.29%
2025-12-27,52,Gurgaon,CX,6692,4,0.06%
2025-12-27,52,Alappuzha,Pod,315,1,0.32%
2025-12-27,52,Guwahati,WH,615,1,0.16%
2025-12-27,52,Kollam,Sourcing,665,2,0.30%
2025-12-27,52,Rohtak,Pod,123,2,1.63%
2025-12-27,52,Trichy,Sourcing,983,3,0.31%
2025-12-27,52,Udaipur,CX,330,1,0.30%
2025-12-27,52,Kakinada,Pod,350,3,0.86%
2025-12-27,52,Jodhpur,Pod,87,1,1.15%
2025-12-27,52,Faridabad,CX,726,1,0.14%
2025-12-27,52,Rajahmundry,Pod,312,1,0.32%
2025-12-27,52,Vizianagaram,Pod,71,1,1.41%
2025-12-27,52,Vizag,CX,2180,7,0.32%
2025-12-27,52,Kakinada,CX,350,2,0.57%
2025-12-27,52,Kochi,CX,7391,9,0.12%
2025-12-27,52,Delhi,Pod,10455,47,0.45%
2025-12-27,52,Chandigarh,Pod,2614,19,0.73%
2025-12-27,52,Moradabad,Pod,85,3,3.53%
2025-12-27,52,Rajahmundry,Sourcing,312,1,0.32%
2025-12-27,52,Salem,CX,708,2,0.28%
2025-12-27,52,Erode,Pod,306,2,0.65%
2025-12-27,52,Jaipur,Pod,1391,5,0.36%
2025-12-27,52,Ongole,Pod,31,2,6.45%
2025-12-27,52,Guwahati,Sourcing,615,1,0.16%
2025-12-27,52,Gurgaon,WH,6692,14,0.21%
2025-12-27,52,Noida,WH,1737,3,0.17%
2025-12-27,52,Sri Ganganagar,Pod,79,2,2.53%
2025-12-27,52,Mysore,Pod,2026,9,0.44%
2025-12-27,52,Kota,CX,201,1,0.50%
2025-12-27,52,Surat,WH,1009,3,0.30%
2025-12-27,52,Nagpur,Pod,612,3,0.49%
2025-12-27,52,Coimbatore,WH,3155,2,0.06%
2025-12-27,52,Nellore,Sourcing,607,1,0.16%
2025-12-27,52,Gorakhpur,Pod,107,2,1.87%
2025-12-27,52,Agra,CX,47,1,2.13%
2025-12-27,52,Thiruvananthapuram,CX,4345,2,0.05%
2025-12-27,52,Meerut,Pod,193,4,2.07%
2025-12-27,52,Pondicherry,Sourcing,1090,2,0.18%
2025-12-27,52,Noida,Pod,1737,13,0.75%
2025-12-27,52,Udaipur,Pod,330,1,0.30%
