DT,WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
2025-10-05,40,Vizag,WH,2569,6,0.23%
2025-10-05,40,Thiruvananthapuram,Sourcing,5120,8,0.16%
2025-10-05,40,Central Goa,Sourcing,3414,3,0.09%
2025-10-05,40,Kochi,WH,10916,4,0.04%
2025-10-05,40,Siliguri,Pod,274,1,0.37%
2025-10-05,40,Faridabad,Sourcing,815,5,0.61%
2025-10-05,40,Pune,Sourcing,16115,44,0.27%
2025-10-05,40,Chennai,Sourcing,28701,65,0.23%
2025-10-05,40,Silchar,CX,88,1,1.14%
2025-10-05,40,Noida,WH,2460,3,0.12%
2025-10-05,40,Jamshedpur,Pod,261,2,0.77%
2025-10-05,40,Thoothukudi,Pod,410,1,0.24%
2025-10-05,40,Rohtak,Pod,148,1,0.68%
2025-10-05,40,Jodhpur,WH,69,1,1.45%
2025-10-05,40,Mangaluru,CX,1711,3,0.18%
2025-10-05,40,Shivamogga,Sourcing,306,3,0.98%
2025-10-05,40,Coimbatore,WH,3924,4,0.10%
2025-10-05,40,Vizag,CX,2569,10,0.39%
2025-10-05,40,Udaipur,Pod,422,1,0.24%
2025-10-05,40,Indore,Sourcing,1519,7,0.46%
2025-10-05,40,Mangaluru,Sourcing,1711,3,0.18%
2025-10-05,40,Kozhikode,Sourcing,1792,1,0.06%
2025-10-05,40,Trichy,CX,1007,1,0.10%
2025-10-05,40,Salem,Pod,860,1,0.12%
2025-10-05,40,Vapi,CX,322,2,0.62%
2025-10-05,40,Panipat,Sourcing,135,2,1.48%
2025-10-05,40,Kota,Sourcing,249,1,0.40%
2025-10-05,40,Warangal,Pod,952,4,0.42%
2025-10-05,40,Noida 1,Sourcing,6289,32,0.51%
2025-10-05,40,Guntur,Pod,1124,10,0.89%
2025-10-05,40,Thiruvallur,WH,210,1,0.48%
2025-10-05,40,Sri Ganganagar,CX,109,1,0.92%
2025-10-05,40,Patna,Sourcing,1157,7,0.61%
2025-10-05,40,Tirupati,Pod,1264,5,0.40%
2025-10-05,40,Aligarh,WH,298,1,0.34%
2025-10-05,40,Saharanpur,WH,46,2,4.35%
2025-10-05,40,Salem,Sourcing,860,3,0.35%
2025-10-05,40,Gwalior,Sourcing,119,1,0.84%
2025-10-05,40,Rajahmundry,CX,406,1,0.25%
2025-10-05,40,Karaikkudi,Pod,171,1,0.58%
2025-10-05,40,Thrissur,Sourcing,2670,2,0.07%
2025-10-05,40,Kakinada,CX,426,2,0.47%
2025-10-05,40,Vizianagaram,Sourcing,154,1,0.65%
2025-10-05,40,Raipur,Sourcing,195,1,0.51%
2025-10-05,40,Ahmedabad,Sourcing,4390,18,0.41%
2025-10-05,40,Hyderabad,Sourcing,34208,53,0.15%
2025-10-05,40,Ranchi,CX,343,3,0.87%
2025-10-05,40,Bhubaneswar,Sourcing,2850,9,0.32%
2025-10-05,40,Kolkata,Pod,8926,56,0.63%
2025-10-05,40,Mangaluru,Pod,1711,3,0.18%
2025-10-05,40,Thoothukudi,CX,410,1,0.24%
2025-10-05,40,Silchar,Pod,88,2,2.27%
2025-10-05,40,Bhopal,Sourcing,816,1,0.12%
2025-10-05,40,Patna,WH,1157,1,0.09%
2025-10-05,40,Palakkad,Pod,386,3,0.78%
2025-10-05,40,Varanasi,Pod,535,3,0.56%
2025-10-05,40,Central Goa,CX,3414,3,0.09%
2025-10-05,40,Coimbatore,Pod,3924,22,0.56%
2025-10-05,40,Gurgaon,Sourcing,9974,42,0.42%
2025-10-05,40,Mumbai,Pod,41317,305,0.74%
2025-10-05,40,Vijayawada,Sourcing,1981,2,0.10%
2025-10-05,40,Jodhpur,Pod,69,1,1.45%
2025-10-05,40,Bikaner,CX,78,1,1.28%
2025-10-05,40,Guntur,CX,1124,6,0.53%
2025-10-05,40,Central Goa,Pod,3414,19,0.56%
2025-10-05,40,Dehradun,WH,694,1,0.14%
2025-10-05,40,Thrissur,CX,2670,3,0.11%
2025-10-05,40,Ranchi,Pod,343,3,0.87%
2025-10-05,40,Ludhiana,Sourcing,363,1,0.28%
2025-10-05,40,Chennai,Pod,28701,192,0.67%
2025-10-05,40,Gurgaon,CX,9974,38,0.38%
2025-10-05,40,Guwahati,WH,865,2,0.23%
