WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
11,Lucknow,WH,21378,6,0.03%
11,Vapi,Sourcing,3631,6,0.17%
11,Jamshedpur,Sourcing,4494,3,0.07%
11,Thiruvananthapuram,DP,47780,12,0.03%
11,Amravati,Pod,1430,5,0.35%
11,Patiala,WH,3652,1,0.03%
11,Ahmednagar,DP,758,1,0.13%
11,Hyderabad,CX,364374,1560,0.43%
11,Chennai,Sourcing,263504,201,0.08%
11,Hubli,Pod,3155,12,0.38%
11,Bhilai,Pod,1046,8,0.76%
11,Bangalore,CX,634127,1577,0.25%
11,Kolkata,Sourcing,101104,170,0.17%
11,Central Goa,Sourcing,35868,36,0.10%
11,Vizag,WH,21197,14,0.07%
11,Tumakuru,CX,3500,1,0.03%
11,Jaipur,WH,28299,22,0.08%
11,Kochi,Pod,96010,299,0.31%
11,Delhi,WH,181791,137,0.08%
11,Madurai,DP,10042,13,0.13%
11,Kottayam,Pod,5852,11,0.19%
11,Kannur,Pod,2001,4,0.20%
11,Karnal,Sourcing,1077,2,0.19%
11,Jamshedpur,WH,4494,1,0.02%
11,Jabalpur,DP,3377,2,0.06%
11,Bhimavaram,CX,546,1,0.18%
11,Tirupati,CX,11990,36,0.30%
11,Kurnool,CX,5259,22,0.42%
11,Jaipur,DP,28299,17,0.06%
11,Rajahmundry,CX,3646,12,0.33%
11,Nagercoil,CX,3609,2,0.06%
11,Khammam,DP,4578,3,0.07%
11,Berhampur,WH,1180,1,0.08%
11,Noida 1,Pod,70828,650,0.92%
11,Nellore,Pod,4745,32,0.67%
11,Rajahmundry,Sourcing,3646,5,0.14%
11,Aligarh,DP,1700,2,0.12%
11,Hubli,Sourcing,3155,2,0.06%
11,Pune,CX,183299,655,0.36%
11,Vijayawada,DP,18869,20,0.11%
11,Kanpur,Pod,4272,22,0.52%
11,Thanjavur,Pod,5369,12,0.22%
11,Nagpur,CX,9941,26,0.26%
11,Nagercoil,Sourcing,3609,3,0.08%
11,Tumakuru,Pod,3500,6,0.17%
11,Thiruvalla,CX,3950,1,0.03%
11,Trichy,Pod,8976,40,0.45%
11,Indore,CX,14503,49,0.34%
11,Meerut,DP,3927,12,0.31%
11,Shivamogga,Pod,3453,12,0.35%
11,Manipal,Pod,7694,56,0.73%
11,Mysore,Pod,22962,107,0.47%
11,Faridabad,DP,14083,11,0.08%
11,Thiruvallur,Pod,2495,8,0.32%
11,Kolhapur,Sourcing,2379,4,0.17%
11,Karimnagar,Pod,3554,15,0.42%
11,Manipal,WH,7694,4,0.05%
11,Bilaspur,Pod,1135,7,0.62%
11,Patna,DP,18050,13,0.07%
11,Faridabad,Pod,14083,105,0.75%
11,Tirunelveli,DP,5340,2,0.04%
11,Saharanpur,Sourcing,761,1,0.13%
11,Thanjavur,DP,5369,1,0.02%
11,Hyderabad,Sourcing,364374,295,0.08%
11,Vizag,Sourcing,21197,50,0.24%
11,Raipur,Pod,4825,40,0.83%
11,Ranchi,Pod,6613,60,0.91%
11,Sri Ganganagar,Pod,2931,10,0.34%
11,Dibrugarh,Sourcing,3032,1,0.03%
11,Thoothukudi,CX,4582,7,0.15%
11,Alappuzha,Sourcing,3895,3,0.08%
11,Thoothukudi,WH,4582,2,0.04%
