Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 29 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 28 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 27 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0,0.0012877115526122149,0.0012202305815029874,0.0015752872017520268,0.0014358188953766632,0.0011066843736166445,0.0011644067159974458,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.0002213368747233289,0,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0,0.0001839587932303164,0.00029453841622485905,0.00019210819533561303,0.0002871637790753326,0.00025822635384388374,0.000413176576644255,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0,0.0012509197939661516,0.0004628460826390642,0.001075805893879433,0.0012124692894291823,0.001217352810978309,0.00247905945986553,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0,0.000919793966151582,0.0010939998316923335,0.0008836976985438199,0.0005424204715867394,0.0008853474988933156,0.000976599181159148,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0,0.0007726269315673289,0.0005049229992426155,0.00046105966880547123,0.0004786062984588877,0.0007009001032905416,0.0003756150696765954,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0,0.003936101166174654,0.0023483198838649077,0.0036236629556865314,0.0032211954661673812,0.003946708532304137,0.0033738753748750417,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0,0.006532252999183468,0.005892148072242859,0.007269155206286837,0.006784642950615047,0.007413706635267438,0.008997000999666778,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0,0.00032022543870885103,0.0002619515389652914,0,0.000021805019515492465,0.00012495834721759413,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0,0.001381822749827272,0.0004910123393535716,0.0007421960270683256,0.0007851663948782992,0.0010902509757746233,0.0006664445184938354,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0,0.0003768607499528924,0.0002561803509670808,0.0003710980135341628,0.00022145718829900748,0.000327075292732387,0.00016661112962345885,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0,0.00016749366664572997,0.00002134836258059007,0,0.00022145718829900748,0.0000654150585464774,0.000020826391202932357,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0,0.0002721772082993112,0.00014943853806413047,0.00030561012879284,0.000301987074953192,0.00021805019515492465,0.00014578473842052648,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0,0.0006490379582522036,0.0006404508774177021,0.0005020737830168085,0.00034225201828028427,0.000654150585464774,0.0008122292569143619,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0,0.0006071645415907711,0.0011314632167712735,0.00137524557956778,0.00040264943327092265,0.0010248359172281458,0.0015411529490169944,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0,0.0005234177082679061,0.00036292216387003116,0.0002837808338790657,0.0004227819049344688,0.00030527027321689454,0.00031239586804398536,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0,0.003607138336919377,0.0023102310231023103,0.003286563013525471,0.003165832038220227,0.0033344020519397244,0.0033052276559865095,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0.00006320313487548983,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0,0.0042399696240982155,0.0037623762376237622,0.0038553912274048793,0.004604846601047602,0.004552741263225393,0.010792580101180439,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0,0.0031008733071763066,0.003432343234323432,0.0038553912274048793,0.004719967766073792,0.003975633215774287,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0,0.0011390963169219087,0.001188118811881188,0.0006320313487548982,0.0007482875726702354,0.0009618467457518436,0.0005396290050590219,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0,0.00018984938615365145,0.000594059405940594,0.0006952344836303881,0.00028780291256547515,0.00012824623276691248,0.0004721753794266442,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0,0.00018984938615365145,0,0.0002528125395019593,0.00023024233005238014,0.00025649246553382496,0.00006745362563237774,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0,0.0003796987723073029,0.00046204620462046204,0.0005056250790039186,0.0004604846601047603,0.00012824623276691248,0.00006745362563237774,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0,0.0005695481584609543,0.00033003300330033004,0.0005688282138794084,0.0008058481551833304,0.0003847386983007374,0.0006070826306913997,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0,0.0016453613466649792,0.002376237623762376,0.0016432815067627354,0.0013814539803142809,0.0008336005129849311,0.00013490725126475548,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0,0.0010758131882040247,0.000858085808580858,0.0007584376185058779,0.0004604846601047603,0.00012824623276691248,0.00013490725126475548,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0,0.0022862185143590567,0.002144388849177984,0.001683937823834197,0.0025075225677031092,0.002209067902028911,0.0027253058167595904,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0,0.006818546446334029,0.005371183498417237,0.005505181347150259,0.007081243731193581,0.00508300090078497,0.007676624781559458,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0,0.00016043638697256537,0.00022465026039007453,0.0006044905008635578,0.0005616850551654964,0.00002144726118474671,0.00029125405675293337,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0,0.0009225092250922509,0.0008373327887266415,0.0008635578583765112,0.0009027081243731193,0.0013082829322695491,0.001060996921028543,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0,0.0003008182255735601,0.00024507301133462676,0.0003022452504317789,0.0005015045135406219,0.00019302535066272037,0.00018723475076974286,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.00008578904473898684,0,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0,0.00022060003208727738,0.0002042275094455223,0.00019430051813471502,0.0002808425275827482,0.00012868356710848025,0.0005409003911125905,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0,0.0006818546446334028,0.0005718370264474624,0.0006476683937823834,0.0006218655967903711,0.0006434178355424012,0.0006865274194890571,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0,0.0003810364190598428,0.0009598692943939549,0.0007556131260794474,0.00044132397191574724,0.0005361815296186677,0.0007281351418823333,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0,0.00032087277394513073,0.00008169100377820892,0.00012953367875647668,0.0002407221664994985,0.0002788143954017072,0.00018723475076974286,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0,0.0032751091703056767,0.0021067094114953057,0.002649836191944498,0.0030022874571101793,0.0030804227287806263,0.002398720682302772,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0,0.006322780203784571,0.0051751774673689035,0.0056369242628637505,0.005956919557758292,0.006445192170987157,0.00843994314143568,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0,0,0.00009159606136936111,0.00009635767970707265,0,0,0.000044420753375977256,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0,0.0015010917030567686,0.0009159606136936112,0.0009153979572171903,0.0013820053373999237,0.0013743424482252026,0.001199360341151386,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0,0.0002729257641921397,0.00027478818410808336,0.00009635767970707265,0.0002382767823103317,0.000142173356712952,0.0003109452736318408,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Incorrect size (sourcing issue),0,0.000045487627365356625,0,0,0.00009531071292413267,0.0001895644756172693,0,Tier-1
,,,,,,,,,,,,,,Pune,DP,Overripe,0,0.00031841339155749636,0.00009159606136936111,0.000048178839853536324,0.0002382767823103317,0.000426520070138856,0.00026652452025586353,Tier-1
,,,,,,,,,,,,,,Pune,DP,Raw,0,0.0002729257641921397,0.00018319212273872223,0.0001927153594141453,0.0006195196340068623,0.0006634756646604426,0.00044420753375977256,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0,0.0002729257641921397,0.0013739409205404168,0.0015417228753131624,0.0006671749904689287,0.0003317378323302213,0.0007995735607675906,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0,0.0004093886462882096,0.000045798030684680556,0.0001927153594141453,0.0003812428516965307,0.00023695559452158665,0.00017768301350390902,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0,0.003233183502878322,0.004157452454666077,0.00291040667033745,0.002573266619013581,0.0028353326063249727,0.0033107101473266016,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
