Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 29 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 28 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 27 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Tier
Hyderabad,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Sourcing,0.00041652782405864714,0.0005342229781295654,0.0003925831974391496,0.0005384559412064323,0.00035224798257973614,0.0006438037811695245,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,WH,0.0009267744085304898,0.0006650530952225203,0.00041271566910269574,0.0008295132067234228,0.0007471926903206525,0.0005652911249293386,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,CX,0.0033052276559865095,0.0033344020519397244,0.003165832038220227,0.003286563013525471,0.0023102310231023103,0.003607138336919377,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Pod,0.005430016863406408,0.0028855402372555306,0.0032617663424087187,0.0020699026671722916,0.0025522552255225523,0.002573513901193942,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Sourcing,0.00042158516020236085,0.0004328310355883296,0.0005180452426178552,0.0005372266464416635,0.0007040704070407041,0.0005220858119225415,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,WH,0.00013490725126475548,0.0004809233728759218,0.0009209693202095206,0.0012008595626343066,0.0016171617161716172,0.001360587267434502,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Mumbai,CX,0.0027253058167595904,0.002209067902028911,0.0025075225677031092,0.001683937823834197,0.002144388849177984,0.0022862185143590567,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Mumbai,Pod,0.0028362597431416605,0.0017443772430260655,0.0026412571046472754,0.0021013241220495106,0.001933353756084278,0.0023998609551312907,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Mumbai,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Mumbai,Sourcing,0.0006449196970957809,0.0005576287908034144,0.0006753594115680374,0.0006044905008635578,0.0005514142755029103,0.0006350606984330713,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Mumbai,WH,0.0004576849463260381,0.00040749796251018743,0.00034102306920762285,0.000442573402417962,0.0005207801490860819,0.0003509545965024868,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Pune,CX,0.002398720682302772,0.0030804227287806263,0.0030022874571101793,0.002649836191944498,0.0021067094114953057,0.0032751091703056767,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Pune,Pod,0.0029169628050225065,0.0034358561205630063,0.0030975981700343117,0.001927153594141453,0.0017861231967025418,0.0033205967976710333,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Pune,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Pune,Sourcing,0.0006515043828476665,0.0005923889863039667,0.0005837781166603127,0.0004014903321128027,0.0004579803068468056,0.0005231077147016012,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Pune,WH,0.0004886282871357498,0.000284346713425904,0.0005242089210827297,0.0008672191173636539,0.0007098694756125487,0.00034115720524017465,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
C.IGCC Reason Level Contribution,,,,,,,,,,,,,,,,,,,,,,,,
Basic reason,SPOC,Bangalore,Chennai,Mumbai,Hyderabad,Delhi,Pune,Kolkata,Noida 1,Gurgaon,,,,,,,,,,,,,,
Customer perception / Wrong claim,CX,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Damage in transit,Pod,,,,0,,0,0,0,0,,,,,,,,,,,,,,
External Damage/Bruises,Pod,,,,0,,0,0,0,0,,,,,,,,,,,,,,
External Rotten/ Fungal,Pod,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Internal Rotten,Sourcing,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Taste / water content,Sourcing,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Incorrect size (sourcing issue),Sourcing,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Overripe,Pod,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Raw,Sourcing,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Shrivelled / Dry,WH,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Underweight (packing issue),WH,,,,0,,0,0,0,0,,,,,,,,,,,,,,
Total,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
