week num ,32,,,,,,,,,,,,,,,,33,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,0.0032889405575225648,0.0014095459532239567,0.15029910269192426,0.19999999999999998,,,,,,,,,,,,,,,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,21,,SKU_Code,SKUName,Symboll,Shelf Life
,,,,,,,,,,,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,A,21
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,SPOC,Basic Reason for IGCC,,,FEFO band,Stores,Band QnP % (pooled),Band DOH (pooled),,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,A,21
Bangalore,0.0014617513588989178,0.0046984865107465214,0.002124058744327532,0.0010939759636962052,0.009378272577669176,,0.5009970089730807,0.15586573612495846,,Pod,External Rotten/ Fungal,,,<50%,1 stores ▸,0.02026,1.596,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,A,21
Chennai,0.0025794268101209036,0.006660203025852151,0.0016605286196991512,0.0009876346692328285,0.011887793124905033,,0.5602556299452223,0.2169811320754717,,Pod,External Damage/Bruises,,,50-55%,14 stores ▸,0.01728,1.486,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,A,21
Delhi,0.0018878986236089523,0.0064812474115350065,0.002603256221728584,0.0009627745117549927,0.011935176768627534,,0.5430374042361424,0.1581793600721046,,Pod/DEL OPS,Damage in transit,to change,,55-60%,29 stores ▸,0.0162,1.525,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,A,21
Hyderabad,0.002717350598146689,0.005530572441211453,0.0016477870220294145,0.0009467285435659909,0.010842438604953548,,0.5100856590218291,0.2506217187068251,,,,,,60-65%,69 stores ▸,0.01766,1.461,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,A,21
Kolkata,0.0020108550582792063,0.007696414271732361,0.0022510899546222974,0.0007029095115223774,0.012661268796156243,,0.6078706957132818,0.1588193956430077,,,,,,65-70%,131 stores ▸,0.01711,1.476,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,A,21
Mumbai,0.0021148945207418945,0.006208999952805701,0.0019231676813440937,0.0006046769550238331,0.010851739109915522,,0.5721663495515086,0.1948899157379723,,,,,,70-75%,172 stores ▸,0.01667,1.391,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,A,21
Pune,0.0024946696406078148,0.0055177668405562005,0.0017450398471246782,0.0005652945983643324,0.010322770926653027,,0.5345238095238094,0.24166666666666667,,,,,,75-80%,162 stores ▸,0.01684,1.404,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,5826,SKM BEST BROWN EGGS 6.00 PIECES,A,21
Noida 1,0.0025103661887395713,0.007843333166808212,0.003721836439026827,0.0015237048508767548,0.015599240645451366,,0.5028022417934347,0.16092874299439552,,,,,,80-85%,141 stores ▸,0.01596,1.433,,,,5824,SKM BEST FRESH EGGS 6.00 PIECES,21,,5825,SKM BEST PLUS EGGS 12.00 PIECES,A,21
Gurgaon,0.002616473642577531,0.007271362797395696,0.0028395837981461574,0.000862016510151512,0.013589436748270897,,0.5350746268656716,0.19253731343283584,,,,,,85-90%,113 stores ▸,0.01494,1.45,,,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,21,,5824,SKM BEST FRESH EGGS 6.00 PIECES,A,21
,,,,,,,,,,,,,,90%+,174 stores ▸,0.01395,1.472,,,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,21,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,A,21
C.IGCC Reason Level Contribution,,,,,,,,,,,,,,,,,,,,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,A,21
Basic reason,SPOC,Bangalore,Chennai,Mumbai,Hyderabad,Delhi,Pune,Kolkata,Noida 1,Gurgaon,,,,,,,,,,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,21,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
Customer perception / Wrong claim,CX,0.0016898738791280893,0.0030023118847614366,0.002325748014571748,0.0030962486113880424,0.002226388563393485,0.0027730620283831055,0.002348270473455252,0.0027324395220052465,0.002999650526152293,,,,,,,,,,,11471,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,A,21
External Damage/Bruises,Pod,0.0037821681125610558,0.007305276885685493,0.006754038369330989,0.005876320961631583,0.006959374777106408,0.006404021242017629,0.005321620137686362,0.005744195084037696,0.008047606104143207,,,,,,,,,,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,21,,11472,ABHI EGGS VITAMIN D3 WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
External Rotten/ Fungal,Pod,0.0013661879419698184,0.0003208045219489572,0.0001543150341422013,0.00002563591306577036,0.00043305040706738266,0.00003624917684160922,0.003176078050428686,0.0032060623724861556,0.0000679532481652623,,,,,,,,,,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,21,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,A,21
Internal Rotten,Sourcing,0.0009229423343296639,0.0010042576339271705,0.0011380733767987347,0.0010054974791352152,0.0011463099010607187,0.0013412195431395412,0.0009460658022553532,0.0015058777810162247,0.0013396497495437424,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,A,21
