WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Faridabad,WH,2610,1,0.0004
9,Anantapur,Sourcing,597,1,0.0017
9,Karaikkudi,CX,340,1,0.0029
9,Hubli,Sourcing,512,2,0.0039
9,Dehradun,WH,2013,1,0.0005
9,Gurgaon,CX,14302,34,0.0024
9,Bhopal,Sourcing,1253,1,0.0008
9,Kollam,Sourcing,1487,1,0.0007
9,Bhubaneswar,WH,4266,1,0.0002
9,Lucknow,CX,3248,1,0.0003
9,Vapi,DP,611,1,0.0016
9,Kozhikode,DP,2229,2,0.0009
9,Central Goa,DP,5277,2,0.0004
9,Karaikkudi,WH,340,4,0.0118
9,Indore,DP,2008,2,0.001
9,Gwalior,Pod,684,4,0.0058
9,Patna,DP,2851,1,0.0004
9,Kota,DP,982,1,0.001
9,Ajmer,CX,244,1,0.0041
9,Mumbai,DP,59923,79,0.0013
9,Surat,CX,1579,7,0.0044
9,Rohtak,CX,430,3,0.007
9,Siliguri,Pod,339,3,0.0089
9,Bareilly,Pod,391,4,0.0102
9,Rajahmundry,Sourcing,559,1,0.0018
9,Kanchipuram,Pod,595,1,0.0017
9,Erode,Pod,553,1,0.0018
9,Nizamabad,Pod,80,2,0.025
9,Thoothukudi,Sourcing,771,1,0.0013
9,Thiruvalla,Pod,688,2,0.0029
9,Rajkot,DP,545,1,0.0018
9,Faridabad,Sourcing,2610,9,0.0034
9,Central Goa,Pod,5277,27,0.0051
9,Kolkata,WH,17654,6,0.0003
9,Bhopal,DP,1253,4,0.0032
9,Tirunelveli,Pod,885,2,0.0023
9,Salem,DP,1282,2,0.0016
9,Belgaum,Sourcing,644,1,0.0016
9,Khammam,Sourcing,849,1,0.0012
9,Jamshedpur,Sourcing,775,2,0.0026
9,Noida,Sourcing,3496,12,0.0034
9,Mysore,CX,3476,8,0.0023
9,Nellore,Pod,731,4,0.0055
9,Jabalpur,DP,522,1,0.0019
9,Hyderabad,Pod,56962,478,0.0084
9,Panipat,Pod,673,8,0.0119
9,Thiruvananthapuram,Pod,7074,36,0.0051
9,Madurai,Pod,1397,11,0.0079
9,Thiruvananthapuram,CX,7074,7,0.001
9,Indore,Sourcing,2008,6,0.003
9,Coimbatore,CX,5012,9,0.0018
9,Palakkad,Sourcing,526,1,0.0019
9,Latur,Sourcing,146,1,0.0068
9,Rajkot,Sourcing,545,1,0.0018
9,Jaipur,WH,3789,6,0.0016
9,Coimbatore,Pod,5012,29,0.0058
9,Vadodara,Sourcing,1429,5,0.0035
9,Kanpur,DP,834,1,0.0012
9,Agra,CX,403,1,0.0025
9,Mumbai,WH,59923,36,0.0006
9,Delhi,Sourcing,27539,104,0.0038
9,Vijayawada,Pod,2956,13,0.0044
9,Kochi,Sourcing,14867,21,0.0014
9,Salem,CX,1282,1,0.0008
9,Chennai,DP,44609,52,0.0012
9,Delhi,Pod,27539,217,0.0079
9,Tirupati,Pod,1901,19,0.01
9,Hyderabad,WH,56962,44,0.0008
9,Jaipur,CX,3789,17,0.0045
9,Kanpur,CX,834,2,0.0024
9,Warangal,Sourcing,1310,2,0.0015
9,Aurangabad,Pod,433,2,0.0046
9,Raipur,CX,711,1,0.0014
9,Ambala,DP,362,1,0.0028
9,Jalandhar,DP,361,1,0.0028
9,Bangalore,CX,94485,253,0.0027
9,Chennai,CX,44609,155,0.0035
9,Nagpur,Sourcing,1131,1,0.0009
9,Vijayawada,CX,2956,4,0.0014
9,Meerut,Pod,388,3,0.0077
9,Bhilai,Pod,131,1,0.0076
9,Karnal,DP,174,1,0.0057
9,Mysore,DP,3476,3,0.0009
9,Salem,Pod,1282,5,0.0039
9,Tumakuru,Pod,590,2,0.0034
9,Lucknow,Pod,3248,12,0.0037
9,Madurai,CX,1397,4,0.0029
9,Anand,Pod,176,2,0.0114
9,Kannur,Pod,363,1,0.0028
9,Pune,Pod,27453,175,0.0064
9,Bhubaneswar,Pod,4266,15,0.0035
9,Kurnool,Sourcing,824,2,0.0024
9,Agra,Pod,403,2,0.005
9,Vadodara,CX,1429,1,0.0007
9,Noida,WH,3496,4,0.0011
9,Karnal,CX,174,1,0.0057
9,Kurnool,WH,824,1,0.0012
9,Bhubaneswar,DP,4266,1,0.0002
9,Patna,Pod,2851,21,0.0074
9,Kochi,CX,14867,20,0.0013
9,Thiruvananthapuram,WH,7074,2,0.0003
9,Chandigarh,WH,7031,2,0.0003
9,Indore,Pod,2008,16,0.008
9,Silchar,Pod,479,1,0.0021
9,Rudrapur,Sourcing,211,2,0.0095
9,Dehradun,CX,2013,7,0.0035
9,Khammam,Pod,849,6,0.0071
9,Gwalior,Sourcing,684,1,0.0015
9,Gurgaon,DP,14302,48,0.0034
9,Trichy,DP,1377,2,0.0015
9,Pondicherry,CX,1974,4,0.002
9,Thanjavur,DP,834,1,0.0012
9,Gurgaon,Sourcing,14302,15,0.001
9,Mumbai,Pod,59923,358,0.006
9,Nanded,Pod,111,1,0.009
9,Gurgaon,Pod,14302,123,0.0086
9,Ludhiana,DP,1470,5,0.0034
9,Nagpur,CX,1131,5,0.0044
9,Jamshedpur,CX,775,1,0.0013
9,Lonavla,CX,117,1,0.0085
9,Noida,DP,3496,6,0.0017
9,Madurai,Sourcing,1397,1,0.0007
9,Ahmedabad,WH,6909,1,0.0001
9,Kolkata,DP,17654,12,0.0007
9,Kakinada,DP,603,2,0.0033
9,Thiruvalla,WH,688,1,0.0015
9,Noida 1,Pod,9977,85,0.0085
9,Bhubaneswar,CX,4266,4,0.0009
9,Ujjain,DP,413,1,0.0024
9,Amritsar,Pod,524,3,0.0057
9,Dehradun,DP,2013,1,0.0005
9,Karimnagar,Sourcing,476,1,0.0021
9,Tirupur,Pod,904,1,0.0011
9,Kolkata,Sourcing,17654,41,0.0023
9,Ambala,WH,362,1,0.0028
9,Raipur,Sourcing,711,1,0.0014
9,Guwahati,CX,1053,6,0.0057
9,Kakinada,Pod,603,2,0.0033
9,Amritsar,CX,524,1,0.0019
9,Vijayawada,WH,2956,3,0.001
9,Chandigarh,Sourcing,7031,12,0.0017
9,Thrissur,Pod,3470,6,0.0017
9,Jabalpur,Sourcing,522,1,0.0019
9,Rohtak,DP,430,1,0.0023
9,Jhansi,Sourcing,232,1,0.0043
9,Khammam,WH,849,1,0.0012
9,Lonavla,DP,117,1,0.0085
9,Mangaluru,CX,3249,5,0.0015
9,Sonipat,Pod,199,1,0.005
9,Bangalore,DP,94485,114,0.0012
9,Thanjavur,Pod,834,2,0.0024
9,Vijayawada,Sourcing,2956,5,0.0017
9,Thiruvallur,CX,463,1,0.0022
9,Saharanpur,Pod,88,1,0.0114
9,Davanagere,Sourcing,268,1,0.0037
9,Patna,Sourcing,2851,3,0.0011
9,Vizag,Sourcing,3011,4,0.0013
9,Lucknow,Sourcing,3248,2,0.0006
9,Rudrapur,Pod,211,1,0.0047
9,Moradabad,Pod,381,1,0.0026
9,Salem,WH,1282,1,0.0008
9,Varanasi,Pod,910,7,0.0077
9,Central Goa,Sourcing,5277,7,0.0013
9,Patna,CX,2851,8,0.0028
9,Patiala,DP,624,1,0.0016
9,Panipat,Sourcing,673,1,0.0015
9,Pune,CX,27453,93,0.0034
9,Gorakhpur,Pod,211,2,0.0095
9,Noida,Pod,3496,33,0.0094
9,Noida 1,WH,9977,4,0.0004
9,Mathura,Pod,180,1,0.0056
9,Kollam,CX,1487,1,0.0007
9,Delhi,DP,27539,75,0.0027
9,Hyderabad,DP,56962,27,0.0005
9,Kollam,Pod,1487,2,0.0013
9,Shivamogga,Pod,582,2,0.0034
9,Nagercoil,Sourcing,548,1,0.0018
9,Nagercoil,Pod,548,3,0.0055
9,Chandigarh,Pod,7031,63,0.009
9,Warangal,Pod,1310,17,0.013
9,Patiala,Pod,624,5,0.008
9,Dehradun,Sourcing,2013,1,0.0005
9,Trichy,Pod,1377,7,0.0051
9,Chennai,WH,44609,43,0.001
9,Guwahati,DP,1053,1,0.001
9,Pondicherry,Pod,1974,7,0.0035
9,Coimbatore,DP,5012,3,0.0006
9,Jaipur,DP,3789,2,0.0005
9,Jaipur,Sourcing,3789,10,0.0026
9,Latur,Pod,146,1,0.0068
9,Bathinda,DP,196,1,0.0051
9,Guntur,Pod,1648,6,0.0036
9,Thanjavur,CX,834,1,0.0012
9,Aurangabad,CX,433,1,0.0023
9,Tirupur,Sourcing,904,1,0.0011
9,Belgaum,Pod,644,1,0.0016
9,Noida,CX,3496,14,0.004
9,Raipur,Pod,711,8,0.0113
9,Central Goa,CX,5277,3,0.0006
9,Panipat,CX,673,2,0.003
9,Ujjain,Pod,413,2,0.0048
9,Sri Ganganagar,Pod,473,5,0.0106
9,Kanchipuram,CX,595,1,0.0017
9,Pondicherry,DP,1974,3,0.0015
9,Dibrugarh,Pod,401,7,0.0175
9,Bangalore,WH,94485,54,0.0006
9,Roorkee,Pod,270,2,0.0074
9,Nashik,CX,1146,3,0.0026
9,Tirupati,Sourcing,1901,4,0.0021
9,Indore,CX,2008,3,0.0015
9,Manipal,CX,1352,4,0.003
9,Agra,Sourcing,403,2,0.005
9,Meerut,CX,388,1,0.0026
9,Thanjavur,Sourcing,834,1,0.0012
9,Nellore,CX,731,3,0.0041
9,Kottayam,Pod,892,3,0.0034
9,Lucknow,WH,3248,1,0.0003
10,Ujjain,DP,2803,4,0.0014
10,Guntur,Sourcing,9720,15,0.0015
10,Hubli,Pod,3542,9,0.0025
10,Bhubaneswar,CX,29408,46,0.0016
10,Tirunelveli,WH,5242,2,0.0004
10,Vizianagaram,CX,820,3,0.0037
10,Jaipur,DP,29129,14,0.0005
10,Nagercoil,DP,3470,2,0.0006
10,Mathura,CX,1267,1,0.0008
10,Faridabad,Pod,15811,134,0.0085
10,Warangal,Pod,8478,79,0.0093
10,Kanpur,WH,5163,4,0.0008
10,Mangaluru,WH,20957,8,0.0004
10,Erode,WH,3635,3,0.0008
10,Tirupati,CX,12026,40,0.0033
10,Hyderabad,DP,368153,348,0.0009
10,Lucknow,CX,22927,21,0.0009
10,Varanasi,CX,6664,10,0.0015
10,Vapi,Sourcing,3971,4,0.001
10,Jhansi,Pod,1363,10,0.0073
10,Bikaner,CX,1409,9,0.0064
10,Karaikkudi,Pod,2164,13,0.006
10,Meerut,DP,3313,8,0.0024
10,Bhilai,CX,999,2,0.002
10,Chandigarh,Pod,45552,368,0.0081
10,Noida 1,Pod,66938,585,0.0087
10,Sonipat,Pod,1578,10,0.0063
10,Guntur,WH,9720,8,0.0008
10,Thoothukudi,Sourcing,4622,4,0.0009
10,Vellore,Sourcing,6766,3,0.0004
10,Ujjain,WH,2803,1,0.0004
10,Pune,CX,183460,526,0.0029
10,Gurgaon,WH,94973,57,0.0006
10,Jamshedpur,Pod,5521,48,0.0087
10,Nashik,DP,8154,19,0.0023
10,Kollam,CX,8468,5,0.0006
10,Vijayawada,DP,18180,16,0.0009
10,Latur,Pod,1076,6,0.0056
10,Alappuzha,CX,3710,2,0.0005
10,Amritsar,CX,3050,5,0.0016
10,Mangaluru,Pod,20957,131,0.0063
10,Durgapur,Pod,624,2,0.0032
10,Anantapur,WH,3775,1,0.0003
10,Surat,Pod,10173,58,0.0057
10,Bangalore,CX,641798,1602,0.0025
10,Madurai,Sourcing,8819,6,0.0007
10,Saharanpur,Pod,768,2,0.0026
10,Vadodara,WH,9245,5,0.0005
10,Nanded,DP,760,1,0.0013
10,Ahmedabad,DP,42853,41,0.001
10,Vizag,DP,18605,32,0.0017
10,Kurnool,CX,5191,18,0.0035
10,Noida,DP,25136,35,0.0014
10,Salem,Sourcing,7913,3,0.0004
10,Jodhpur,Sourcing,2053,3,0.0015
10,Kanpur,CX,5163,4,0.0008
10,Aurangabad,DP,3323,1,0.0003
10,Kota,CX,5977,23,0.0038
10,Moradabad,Sourcing,2691,1,0.0004
10,Jhansi,WH,1363,1,0.0007
10,Bhopal,Sourcing,8358,14,0.0017
10,Coimbatore,Sourcing,30732,14,0.0005
10,Anand,Pod,1034,8,0.0077
10,Noida,WH,25136,14,0.0006
10,Sonipat,DP,1578,4,0.0025
10,Bilaspur,WH,1017,1,0.001
10,Kota,Sourcing,5977,6,0.001
10,Kanpur,Sourcing,5163,5,0.001
10,Rajahmundry,CX,3419,6,0.0018
10,Bathinda,DP,1135,5,0.0044
10,Kurukshetra,Pod,1061,7,0.0066
10,Khammam,DP,5418,2,0.0004
10,Davanagere,Sourcing,1860,2,0.0011
10,Kottayam,CX,5818,2,0.0003
10,Varanasi,DP,6664,4,0.0006
10,Thiruvallur,WH,2691,3,0.0011
10,Ahmednagar,Pod,761,1,0.0013
10,Chennai,Pod,272228,2056,0.0076
10,Thiruvananthapuram,Pod,44674,221,0.0049
10,Thiruvallur,Pod,2691,19,0.0071
10,Silchar,DP,3343,4,0.0012
10,Karimnagar,CX,3489,10,0.0029
10,Belgaum,Sourcing,4582,5,0.0011
10,Rudrapur,CX,1387,5,0.0036
10,Varanasi,Sourcing,6664,11,0.0017
10,Eluru,CX,777,2,0.0026
10,Hubli,DP,3542,1,0.0003
10,Manipal,WH,7792,3,0.0004
10,Kolkata,Pod,121426,573,0.0047
10,Jodhpur,Pod,2053,9,0.0044
10,Central Goa,WH,34814,14,0.0004
10,Allahabad,WH,1302,2,0.0015
10,Thrissur,Pod,21908,39,0.0018
10,Amritsar,Sourcing,3050,2,0.0007
10,Hyderabad,CX,368153,1552,0.0042
10,Delhi,Pod,186231,1315,0.0071
10,Gwalior,Pod,4128,26,0.0063
10,Aurangabad,CX,3323,8,0.0024
10,Karnal,Pod,1169,6,0.0051
10,Tirupur,Sourcing,5889,6,0.001
10,Tumakuru,CX,3683,1,0.0003
10,Indore,CX,14294,50,0.0035
10,Pondicherry,CX,11315,31,0.0027
10,Rohtak,CX,2989,3,0.001
10,Tirupati,Sourcing,12026,8,0.0007
10,Noida,CX,25136,78,0.0031
10,Berhampur,CX,1397,3,0.0021
10,Gurgaon,DP,94973,200,0.0021
10,Mangaluru,CX,20957,56,0.0027
10,Ahmedabad,WH,42853,27,0.0006
10,Tirupur,Pod,5889,20,0.0034
10,Coimbatore,CX,30732,61,0.002
10,Gwalior,CX,4128,4,0.001
10,Surat,DP,10173,11,0.0011
10,Indore,Pod,14294,113,0.0079
10,Karur,DP,2927,2,0.0007
10,Rajahmundry,Sourcing,3419,9,0.0026
10,Tumakuru,WH,3683,1,0.0003
10,Manipal,DP,7792,5,0.0006
10,Patiala,Sourcing,3745,4,0.0011
10,Kochi,CX,91405,92,0.001
10,Thanjavur,Sourcing,5319,7,0.0013
10,Nagercoil,Sourcing,3470,2,0.0006
10,Bareilly,DP,2409,1,0.0004
10,Roorkee,Sourcing,1646,2,0.0012
10,Jaipur,CX,29129,84,0.0029
10,Belgaum,Pod,4582,11,0.0024
10,Cuttack,CX,3191,4,0.0013
10,Guwahati,Sourcing,7516,16,0.0021
10,Varanasi,WH,6664,3,0.0005
10,Erode,Sourcing,3635,1,0.0003
10,Vellore,CX,6766,16,0.0024
10,Faridabad,CX,15811,37,0.0023
10,Anantapur,Sourcing,3775,5,0.0013
10,Karimnagar,Pod,3489,25,0.0072
10,Ludhiana,DP,8509,20,0.0024
10,Amravati,CX,1692,1,0.0006
10,Amritsar,DP,3050,8,0.0026
10,Guwahati,WH,7516,7,0.0009
10,Kurukshetra,Sourcing,1061,1,0.0009
10,Saharanpur,DP,768,1,0.0013
10,Vizianagaram,Pod,820,4,0.0049
10,Tumakuru,Pod,3683,12,0.0033
10,Amritsar,Pod,3050,12,0.0039
10,Ongole,Pod,385,6,0.0156
10,Lucknow,Sourcing,22927,10,0.0004
10,Tirupati,WH,12026,8,0.0007
10,Indore,Sourcing,14294,22,0.0015
10,Panipat,Sourcing,4019,6,0.0015
10,Kurnool,Pod,5191,30,0.0058
10,Bathinda,Pod,1135,4,0.0035
10,Thiruvalla,DP,4004,4,0.001
10,Rajahmundry,DP,3419,1,0.0003
10,Jalandhar,CX,2177,6,0.0028
10,Kochi,Pod,91405,314,0.0034
10,Raipur,Pod,4953,42,0.0085
10,Bhubaneswar,Pod,29408,144,0.0049
10,Bangalore,WH,641798,623,0.001
10,Davanagere,Pod,1860,9,0.0048
10,Raipur,WH,4953,4,0.0008
10,Thiruvalla,Pod,4004,2,0.0005
10,Ajmer,Sourcing,1831,1,0.0005
10,Lonavla,Sourcing,844,1,0.0012
10,Delhi,Sourcing,186231,458,0.0025
10,Patiala,CX,3745,9,0.0024
10,Chennai,Sourcing,272228,203,0.0007
10,Kollam,Pod,8468,14,0.0017
10,Thiruvananthapuram,DP,44674,14,0.0003
10,Berhampur,Pod,1397,5,0.0036
10,Kollam,Sourcing,8468,15,0.0018
10,Ambala,DP,2133,2,0.0009
10,Davanagere,DP,1860,2,0.0011
10,Aligarh,WH,1471,2,0.0014
10,Vadodara,DP,9245,7,0.0008
10,Bangalore,DP,641798,820,0.0013
10,Nizamabad,Pod,476,2,0.0042
10,Ludhiana,CX,8509,22,0.0026
10,Faridabad,DP,15811,26,0.0016
10,Ambala,Sourcing,2133,3,0.0014
10,Kota,DP,5977,1,0.0002
10,Bangalore,Sourcing,641798,1142,0.0018
10,Rohtak,Pod,2989,30,0.01
10,Ahmedabad,CX,42853,121,0.0028
10,Vizag,Pod,18605,113,0.0061
10,Thiruvananthapuram,Sourcing,44674,47,0.0011
10,Anand,CX,1034,2,0.0019
10,Bhopal,Pod,8358,43,0.0051
10,Kakinada,CX,3454,5,0.0014
10,Rajkot,WH,3603,1,0.0003
10,Anantapur,CX,3775,7,0.0019
10,Lonavla,CX,844,1,0.0012
10,Rudrapur,DP,1387,1,0.0007
10,Central Goa,DP,34814,30,0.0009
10,Jamshedpur,CX,5521,12,0.0022
10,Bhopal,WH,8358,2,0.0002
10,Thiruvallur,CX,2691,6,0.0022
10,Nanded,Pod,760,4,0.0053
10,Latur,WH,1076,1,0.0009
10,Siliguri,DP,2491,1,0.0004
10,Madurai,Pod,8819,47,0.0053
10,Ambala,Pod,2133,13,0.0061
10,Ahmedabad,Sourcing,42853,48,0.0011
10,Ajmer,CX,1831,3,0.0016
10,Thrissur,Sourcing,21908,9,0.0004
10,Khammam,Pod,5418,24,0.0044
10,Alappuzha,Pod,3710,9,0.0024
10,Udaipur,Pod,5059,47,0.0093
10,Noida 1,WH,66938,50,0.0007
10,Rajkot,CX,3603,10,0.0028
10,Silchar,Pod,3343,15,0.0045
10,Ranchi,WH,7266,5,0.0007
10,Mysore,CX,22250,40,0.0018
10,Coimbatore,DP,30732,33,0.0011
10,Durgapur,WH,624,1,0.0016
10,Delhi,CX,186231,514,0.0028
10,Chandigarh,Sourcing,45552,57,0.0013
10,Nashik,CX,8154,17,0.0021
10,Kolhapur,Pod,2431,9,0.0037
10,Bikaner,Pod,1409,8,0.0057
10,Bangalore,Pod,641798,3996,0.0062
10,Chennai,CX,272228,847,0.0031
10,Ludhiana,Pod,8509,55,0.0065
10,Coimbatore,WH,30732,16,0.0005
10,Palakkad,CX,3340,3,0.0009
10,Siliguri,CX,2491,2,0.0008
10,Davanagere,CX,1860,5,0.0027
10,Udaipur,Sourcing,5059,5,0.001
10,Karur,Pod,2927,7,0.0024
10,Kottayam,Sourcing,5818,2,0.0003
10,Karnal,Sourcing,1169,2,0.0017
10,Bhilai,DP,999,1,0.001
10,Nagpur,Pod,8116,40,0.0049
10,Mangaluru,Sourcing,20957,25,0.0012
10,Bikaner,DP,1409,2,0.0014
10,Eluru,Pod,777,5,0.0064
10,Madurai,DP,8819,6,0.0007
10,Latur,CX,1076,2,0.0019
10,Salem,CX,7913,6,0.0008
10,Trichy,DP,8397,5,0.0006
10,Lucknow,WH,22927,6,0.0003
10,Ujjain,Sourcing,2803,3,0.0011
10,Jalandhar,WH,2177,1,0.0005
10,Vellore,DP,6766,3,0.0004
10,Nagpur,CX,8116,14,0.0017
10,Mathura,Pod,1267,9,0.0071
10,Jaipur,WH,29129,25,0.0009
10,Ujjain,Pod,2803,12,0.0043
10,Udaipur,DP,5059,7,0.0014
10,Tirupur,WH,5889,4,0.0007
10,Kurnool,Sourcing,5191,8,0.0015
10,Khammam,Sourcing,5418,6,0.0011
10,Patna,DP,18689,5,0.0003
10,Tirunelveli,Sourcing,5242,1,0.0002
10,Pondicherry,DP,11315,7,0.0006
10,Noida 1,Sourcing,66938,141,0.0021
10,Anantapur,Pod,3775,14,0.0037
10,Patna,WH,18689,13,0.0007
10,Kanpur,Pod,5163,21,0.0041
10,Nellore,DP,4412,3,0.0007
10,Faridabad,WH,15811,9,0.0006
10,Warangal,WH,8478,10,0.0012
10,Karur,WH,2927,2,0.0007
10,Ongole,CX,385,3,0.0078
10,Palakkad,DP,3340,3,0.0009
10,Shivamogga,WH,3568,3,0.0008
10,Central Goa,Pod,34814,183,0.0053
10,Aligarh,Pod,1471,19,0.0129
10,Kanchipuram,Pod,3279,12,0.0037
10,Meerut,WH,3313,6,0.0018
10,Moradabad,WH,2691,1,0.0004
10,Patna,Pod,18689,115,0.0062
10,Noida 1,CX,66938,188,0.0028
10,Dibrugarh,Pod,2620,28,0.0107
10,Bhopal,DP,8358,11,0.0013
10,Kota,WH,5977,3,0.0005
10,Jalandhar,Sourcing,2177,2,0.0009
10,Gwalior,WH,4128,1,0.0002
10,Eluru,Sourcing,777,1,0.0013
10,Chandigarh,WH,45552,25,0.0005
10,Belgaum,CX,4582,5,0.0011
10,Tirupur,DP,5889,5,0.0008
10,Kozhikode,Sourcing,14102,9,0.0006
10,Karimnagar,WH,3489,3,0.0009
