Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
7/8/2026-Kochi-1133,7/8/2026,28,Kochi,1133,Green Zucchini,1,55,External Damage/Bruises (1.00)
7/8/2026-Bangalore-918705,7/8/2026,28,Bangalore,918705,Pear Nashpati,1,84,Customer perception / Wrong claim (1.00)
7/8/2026-Anantapur-20422,7/8/2026,28,Anantapur,20422,Daily Apple,1,25,Underweight (packing issue) (1.00)
7/8/2026-Ujjain-1037,7/8/2026,28,Ujjain,1037,Cauliflower,1,18,External Damage/Bruises (1.00)
7/8/2026-Kolkata-1055,7/8/2026,28,Kolkata,1055,Cucumber (Kheera),3,656,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00), Internal Rotten (1.00)"
7/8/2026-Karnal-11565,7/8/2026,28,Karnal,11565,Baby Banana,1,6,Raw (1.00)
7/8/2026-Noida 1-85194,7/8/2026,28,Noida 1,85194,Ready To Eat Robusta Banana,2,39,Customer perception / Wrong claim (2.00)
7/8/2026-Anantapur-7433,7/8/2026,28,Anantapur,7433,Imported Avocado - Tanzania,1,26,Customer perception / Wrong claim (1.00)
7/8/2026-Hyderabad-1047,7/8/2026,28,Hyderabad,1047,Coconut,5,911,"External Damage/Bruises (3.00), Underweight (packing issue) (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Gorakhpur-2116,7/8/2026,28,Gorakhpur,2116,Onion,1,99,External Damage/Bruises (1.00)
7/8/2026-Chennai-8689,7/8/2026,28,Chennai,8689,Hybrid Tomato,13,1553,"External Damage/Bruises (8.00), Customer perception / Wrong claim (4.00), Raw (1.00)"
7/8/2026-Bangalore-126272,7/8/2026,28,Bangalore,126272,Pluckk Hybrid Tomato,1,87,Customer perception / Wrong claim (1.00)
7/8/2026-Tirupati-5733,7/8/2026,28,Tirupati,5733,Premium White Guava,1,54,External Damage/Bruises (1.00)
7/8/2026-Kakinada-1026,7/8/2026,28,Kakinada,1026,Cabbage,1,16,External Damage/Bruises (1.00)
7/8/2026-Delhi-19027,7/8/2026,28,Delhi,19027,Green Cucumber,5,687,External Damage/Bruises (5.00)
7/8/2026-Pune-663048,7/8/2026,28,Pune,663048,Thompson Green Grapes (Seedless),1,53,External Damage/Bruises (1.00)
7/8/2026-Vellore-3967,7/8/2026,28,Vellore,3967,Purple Bharta Brinjal,1,14,External Damage/Bruises (1.00)
7/8/2026-Jodhpur-8689,7/8/2026,28,Jodhpur,8689,Hybrid Tomato,1,35,Internal Rotten (1.00)
7/8/2026-Chennai-928859,7/8/2026,28,Chennai,928859,Superplum Premium Cherries,1,158,External Damage/Bruises (1.00)
7/8/2026-Chennai-1289,7/8/2026,28,Chennai,1289,Raw Banana,1,697,External Damage/Bruises (1.00)
7/8/2026-Delhi-1128,7/8/2026,28,Delhi,1128,Sweet Potato,4,306,"External Damage/Bruises (3.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Central Goa-7388,7/8/2026,28,Central Goa,7388,Indian Plum,1,49,External Damage/Bruises (1.00)
7/8/2026-Delhi-1284,7/8/2026,28,Delhi,1284,Indian Tomato,16,3964,"External Damage/Bruises (10.00), Customer perception / Wrong claim (4.00), Underweight (packing issue) (2.00)"
