City,Store Id,Mar'25,Median,-Apr target per pod,City Target,,,,,City,#pods <Median,total pods,%comply,Median ,city level %,Target,
Agra,1401076,0.002042483660130719,0.002052169665116906,0.0016417357320935248,0.002052169665116906,,,,,Agra,1,2,0.5,0.002052169665116906,0.0032369443245576176,0.002052169665116906,0.002265861027190332
Agra,1402243,0.002061855670103093,0.002052169665116906,0.002052169665116906,0.002052169665116906,City,Mar'25%,Median,Target,Ahmedabad,11,21,0.5238095238095238,0.003173483779971791,0.006282460682527362,0.003173483779971791,0.004397722477769153
Ahmedabad,1383570,0.004031007751937985,0.003173483779971791,0.003173483779971791,0.003173483779971791,Pan India,0.0051,0.0025,0.0025,Ajmer,1,1,1,0.028846153846153848,0.061224489795918366,0.028846153846153848,0.04285714285714285
Ahmedabad,1385348,0.0023381513421596016,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Alappuzha,1,1,1,0.0015247222827270747,0.0022905759162303663,0.0015247222827270747,0.0016034031413612562
Ahmedabad,1385642,0.002455554464198016,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Aligarh,2,3,0.6666666666666666,0.00229704009975717,0.0035327886950761757,0.00229704009975717,0.0024729520865533227
Ahmedabad,1385834,0.00328530408464185,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Allahabad,1,2,0.5,0.0051286042139700675,0.003801317790167258,0.004102883371176054,0.0026609224531170803
Ahmedabad,1386811,0.002474566950783613,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Ambala,1,2,0.5,0.004411051754574861,0.004496908375491849,0.004411051754574861,0.0031478358628442946
Ahmedabad,1386812,0.002910069466174354,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Amritsar,1,1,1,0.003978052126200274,0.008428657435279952,0.003978052126200274,0.005900060204695966
Ahmedabad,1387076,0.0034314846890421257,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Anand,1,1,1,0.014705882352941176,0.015625,0.014705882352941176,0.0109375
Ahmedabad,1388194,0.0038650418333939615,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Aurangabad,1,2,0.5,0.0031066950659789584,0.005030181086519115,0.0031066950659789584,0.00352112676056338
Ahmedabad,1388195,0.0027501586629997883,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Bangalore,67,133,0.5037593984962406,0.0017763422786951223,0.004708021723815975,0.0017763422786951223,0.0032956152066711823
Ahmedabad,1393824,0.0025596976464524997,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Bareilly,1,2,0.5,0.005173437655211272,0.005246913580246914,0.005173437655211272,0.003672839506172839
Ahmedabad,1397023,0.003173483779971791,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Bathinda,1,1,1,0.017857142857142856,0.020833333333333332,0.017857142857142856,0.014583333333333332
Ahmedabad,1397618,0.00300833076211046,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Belgaum,1,2,0.5,0.0013225284166005816,0.0011825707268261622,0.0010580227332804653,0.0008277995087783135
Ahmedabad,1400544,0.00478369384359401,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Bhiwadi,1,1,1,0,#DIV/0!,#DIV/0!,#DIV/0!
Ahmedabad,1400955,0.004134878574340458,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Bhopal,3,5,0.6,0.0019062142584826535,0.002613757870975407,0.0019062142584826535,0.0018296305096827845
Ahmedabad,1400956,0.0029563932002956393,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Bhubaneswar,6,11,0.5454545454545454,0.0017998560115190785,0.004086417408963701,0.0017998560115190785,0.0028604921862745904
Ahmedabad,1400957,0.0049113815929959425,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Central Goa,6,12,0.5,0.0017539478620743414,0.0031245852987658493,0.0017539478620743414,0.0021872097091360943
Ahmedabad,1401245,0.0024512307220917167,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Chandigarh,7,14,0.5,0.0034046657328120162,0.007834540602363705,0.0034046657328120162,0.005484178421654593
Ahmedabad,1401461,0.0028935185185185184,0.003173483779971791,0.002538787023977433,0.003173483779971791,,,,,Chennai,31,62,0.5,0.002018476487420641,0.004466542392287122,0.002018476487420641,0.003126579674600985
Ahmedabad,1402438,0.006112469437652812,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Coimbatore,5,9,0.5555555555555556,0.002486057918430424,0.006027215399933621,0.002486057918430424,0.004219050779953534
Ahmedabad,1402439,0.004038772213247173,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Cuttack,1,1,1,0.004381161007667032,0.004431314623338257,0.004381161007667032,0.0031019202363367798
Ahmedabad,1402796,0.012704174228675136,0.003173483779971791,0.003173483779971791,0.003173483779971791,,,,,Dehradun,4,8,0.5,0.002714961582719212,0.004595993593463476,0.002714961582719212,0.003217195515424433
Ajmer,1402472,0.028846153846153848,0.028846153846153848,0.023076923076923078,0.028846153846153848,,,,,Delhi,29,57,0.5087719298245614,0.002308841504821404,0.006761590315036457,0.002308841504821404,0.0047331132205255195
Alappuzha,1401077,0.0015247222827270747,0.0015247222827270747,0.0012197778261816598,0.0015247222827270747,,,,,Erode,1,2,0.5,0.0028904506835476153,0.002347417840375587,0.0023123605468380925,0.0016431924882629107
Aligarh,1400958,0.0023237800154918666,0.00229704009975717,0.00229704009975717,0.00229704009975717,,,,,Faridabad,4,7,0.5714285714285714,0.003603139879037447,0.007762312633832976,0.003603139879037447,0.005433618843683083
Aligarh,1400959,0.00229704009975717,0.00229704009975717,0.0018376320798057363,0.00229704009975717,,,,,Gorakhpur,1,2,0.5,0.0022910372927194434,0.0023148148148148147,0.0022910372927194434,0.00162037037037037
Aligarh,1402047,0.0012908777969018934,0.00229704009975717,0.0018376320798057363,0.00229704009975717,,,,,Guntur,2,4,0.5,0.0022307014018176363,0.004834051814338928,0.0022307014018176363,0.0033838362700372494
Allahabad,1399808,0.0021271271271271273,0.0051286042139700675,0.004102883371176054,0.004102883371176054,,,,,Gurgaon,18,36,0.5,0.0024188135348168606,0.006629869559313369,0.0024188135348168606,0.004640908691519358
Allahabad,1402244,0.008130081300813009,0.0051286042139700675,0.0051286042139700675,0.004102883371176054,,,,,Guwahati,1,1,1,0.007692307692307693,0.0058823529411764705,0.006153846153846155,0.004117647058823529
Ambala,1401289,0.0025075225677031092,0.004411051754574861,0.003528841403659889,0.004411051754574861,,,,,Gwalior,1,2,0.5,0.004358462441008307,0.0049586776859504135,0.004358462441008307,0.003471074380165289
Ambala,1402271,0.006314580941446613,0.004411051754574861,0.004411051754574861,0.004411051754574861,,,,,Hubli,1,2,0.5,0.0022115444473963432,0.0024630541871921183,0.0022115444473963432,0.0017241379310344827
Amritsar,1397088,0.003978052126200274,0.003978052126200274,0.00318244170096022,0.003978052126200274,,,,,Hyderabad,44,88,0.5,0.0019514601899941757,0.004942893591225365,0.0019514601899941757,0.003460025513857755
Anand,1403137,0.014705882352941176,0.014705882352941176,0.011764705882352941,0.014705882352941176,,,,,Indore,4,8,0.5,0.002304805233174444,0.0036527028472742276,0.002304805233174444,0.0025568919930919593
Aurangabad,1401651,0.003861832224844454,0.0031066950659789584,0.0031066950659789584,0.0031066950659789584,,,,,Jabalpur,1,2,0.5,0.006936621021954947,0.0067618332081141996,0.005549296817563958,0.0047332832456799395
Aurangabad,1401658,0.0023515579071134627,0.0031066950659789584,0.002485356052783167,0.0031066950659789584,,,,,Jaipur,8,15,0.5333333333333333,0.003683241252302026,0.005641423568147977,0.003683241252302026,0.003948996497703584
Bangalore,565139,0.0016361524239598161,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Jalandhar,1,2,0.5,0.006488023701201925,0.009256878374903575,0.006488023701201925,0.006479814862432502
Bangalore,593243,0.002459971516119287,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Jamshedpur,1,2,0.5,0.006458253784968695,0.006243838317449885,0.005166603027974956,0.004370686822214919
Bangalore,649831,0.0015546585206196815,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Jodhpur,1,1,1,0.009411764705882352,0.012773722627737226,0.009411764705882352,0.008941605839416058
Bangalore,762611,0.0018353215983982648,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kakinada,1,1,1,0.0028967076444821253,0.0055965055965055965,0.0028967076444821253,0.003917553917553917
Bangalore,788740,0.0016255944660613921,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Kanchipuram,1,1,1,0.003276003276003276,0.0035056967572304996,0.003276003276003276,0.0024539877300613494
Bangalore,788742,0.0022739801543550167,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kanpur,2,4,0.5,0.004916397505112542,0.003780718336483932,0.003933118004090034,0.002646502835538752
Bangalore,816646,0.0017872036220660074,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Karimnagar,1,1,1,0.0022618037885213456,0.0038038038038038036,0.0022618037885213456,0.0026626626626626623
Bangalore,816648,0.002223111466808946,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Khammam,1,2,0.5,0.0023817066240970517,0.0037934247304671903,0.0023817066240970517,0.002655397311327033
Bangalore,854379,0.0020281071794994152,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kochi,11,20,0.55,0.001578728707935189,0.003537351435644873,0.001578728707935189,0.0024761460049514106
Bangalore,901839,0.002430133657351154,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kolkata,17,33,0.5151515151515151,0.002825335245002952,0.006321042550938892,0.002825335245002952,0.004424729785657225
Bangalore,911032,0,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Kollam,2,3,0.6666666666666666,0.0010331739216631023,0.0007822977201609299,0.0008265391373304819,0.0005476084041126509
Bangalore,911033,0.002263359778905487,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kota,2,3,0.6666666666666666,0.004530744336569579,0.006491288008199521,0.004530744336569579,0.0045439016057396645
Bangalore,969380,0.0018423609017519176,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kottayam,1,1,1,0.0010050251256281408,0.001525165226232842,0.0010050251256281408,0.0010676156583629892
Bangalore,1113105,0.003366031929217157,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kozhikode,3,4,0.75,0.0013151875571820676,0.002198204799413812,0.0013151875571820676,0.0015387433595896683
Bangalore,1181690,0.002017233650445784,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Kurnool,1,2,0.5,0.002730278224628953,0.004853705222860268,0.002730278224628953,0.0033975936560021874
Bangalore,1190778,0.001637186065352417,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Latur,1,1,1,0.01282051282051282,0.013333333333333334,0.01282051282051282,0.009333333333333334
Bangalore,1216213,0.0015139758899339528,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Lucknow,8,16,0.5,0.00181795003524049,0.0036155468514612837,0.00181795003524049,0.0025308827960228986
Bangalore,1229990,0.0017281474685839858,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Ludhiana,2,3,0.6666666666666666,0.0031236055332440876,0.004326328800988875,0.0031236055332440876,0.0030284301606922125
Bangalore,1231052,0.001406490154568918,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Madurai,2,3,0.6666666666666666,0.0027675464825486574,0.0019646365422396855,0.002214037186038926,0.0013752455795677798
Bangalore,1231805,0.0016671396140749148,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Mangaluru,2,3,0.6666666666666666,0.0013749799828946902,0.003410610789121712,0.0013749799828946902,0.0023874275523851985
Bangalore,1237709,0.0024123373826139397,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Manipal,1,1,1,0.0010565354262797016,0.0024683408456750377,0.0010565354262797016,0.0017278385919725263
Bangalore,1238349,0.0023393488016805117,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Mathura,1,1,1,0.004,0.005655042412818096,0.004,0.003958529688972668
Bangalore,1239157,0.0018373796516328181,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Meerut,1,2,0.5,0.006297172220838136,0.0045480386583285955,0.00503773777667051,0.003183627060830017
Bangalore,1313712,0.00217735550277118,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Moradabad,1,2,0.5,0.0023364384015990116,0.0019206145966709346,0.0018691507212792093,0.0013444302176696542
Bangalore,1346768,0.002578704201138928,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Mumbai,46,91,0.5054945054945055,0.0016196019948365164,0.005279164861492044,0.0016196019948365164,0.0036954154030444304
Bangalore,1373485,0.0018948123111589082,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Mysore,3,5,0.6,0.0011107313738892687,0.0031583022597143264,0.0011107313738892687,0.0022108115818000283
Bangalore,1374258,0.0020784204004956233,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Nagercoil,1,1,1,0.003952569169960474,0.004273504273504274,0.003952569169960474,0.0029914529914529917
Bangalore,1380447,0.0014849187935034804,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Nagpur,3,6,0.5,0.0018035180849604571,0.004393265478756788,0.0018035180849604571,0.0030752858351297515
Bangalore,1380521,0.002151308712800287,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Nashik,3,5,0.6,0.0022486347574686796,0.004436639245771328,0.0022486347574686796,0.0031056474720399293
Bangalore,1380710,0.001836962086307104,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Nellore,1,1,1,0.0020571722453177903,0.0049113815929959425,0.0020571722453177903,0.0034379671150971593
Bangalore,1380898,0.0017096595766078343,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Noida,5,10,0.5,0.0033504771916857733,0.007697438393452671,0.0033504771916857733,0.005388206875416869
Bangalore,1380899,0.002358308203819686,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Noida 1,12,24,0.5,0.0027203369124378833,0.006583896570425533,0.0027203369124378833,0.004608727599297873
Bangalore,1381021,0.0019938461538461538,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Palakkad,1,1,1,0.002014098690835851,0.003171247357293869,0.002014098690835851,0.002219873150105708
Bangalore,1381157,0.0020204168438962143,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Panipat,1,2,0.5,0.0030801946638601054,0.00448681996634885,0.0030801946638601054,0.003140773976444195
Bangalore,1381848,0.002447626065901674,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Patiala,2,3,0.6666666666666666,0.0025875796178343948,0.0045930084205154376,0.0025875796178343948,0.003215105894360806
Bangalore,1381969,0.001409157132962335,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Patna,2,4,0.5,0.002108505733775053,0.006170598911070781,0.002108505733775053,0.004319419237749546
Bangalore,1382164,0.0014311789595951216,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Pondicherry,2,4,0.5,0.0022735976827458473,0.006168892232461915,0.0022735976827458473,0.00431822456272334
Bangalore,1382254,0.00135772935928105,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Pune,22,43,0.5116279069767442,0.001801208888273091,0.004274776983097908,0.001801208888273091,0.0029923438881685354
Bangalore,1382349,0.0019468621163536417,0.0017763422786951223,0.0017763422786951223,0.0017763422786951223,,,,,Raipur,2,4,0.5,0.005518446844372308,0.004069635993669455,0.004414757475497847,0.0028487451955686183
Bangalore,1382350,0.0016620805555042568,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Rajkot,2,3,0.6666666666666666,0.0037352457791722696,0.0075195714874330445,0.0037352457791722696,0.005263700041203131
Bangalore,1382412,0.0015852312631684559,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Ranchi,3,4,0.75,0.0013186813186813187,0.0023559108119478333,0.0013186813186813187,0.0016491375683634832
Bangalore,1382655,0.0014644519338789922,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Roorkee,1,1,1,0.00348168331819558,0.006990679094540613,0.00348168331819558,0.004893475366178428
Bangalore,1382656,0.0010652523741528977,0.0017763422786951223,0.001421073822956098,0.0017763422786951223,,,,,Rudrapur,1,1,1,0.014492753623188406,0.015873015873015872,0.014492753623188406,0.01111111111111111
