week num ,30,,,,,,,,,,,,,,,,32,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,0.00497869906263234,0.0021337281696995752,0.16103756708407876,0.19999999999999998,,,,,,,,,,,,,,,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,21,,SKU_Code,SKUName,Symboll,Shelf Life
,,,,,,,,,,,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,A,21
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,SPOC,Basic Reason for IGCC,,,FEFO band,Stores,Band QnP % (pooled),Band DOH (pooled),,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,A,21
Bangalore,0.001983136231187859,0.007112427232331915,0.002823796370623669,0.0013305184913626911,0.013249878325506134,,0.5367918902802624,0.14967203339296364,,Pod,External Rotten/ Fungal,,,<50%,1 stores ▸,0.02026,1.596,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,A,21
Chennai,0.0032441081271514234,0.00994150329915521,0.0020477515101249935,0.0010165361439150953,0.01624989908034672,,0.6117886178861789,0.19963866305329722,,Pod,External Damage/Bruises,,,50-55%,14 stores ▸,0.01728,1.486,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,A,21
Delhi,0.002367289534003618,0.009544310184713,0.002914825888807176,0.0014815689600566862,0.016307994567580482,,0.5852534562211982,0.14516129032258063,,Pod/DEL OPS,Damage in transit,to change,,55-60%,29 stores ▸,0.0162,1.525,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,A,21
Hyderabad,0.0031184218345828916,0.007941497530597755,0.0023865154060047607,0.000847635222840485,0.014294069994025892,,0.5555798687089716,0.21816192560175054,,,,,,60-65%,69 stores ▸,0.01766,1.461,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,A,21
Kolkata,0.0027442371020856204,0.011221969578171554,0.0028520464168104126,0.0008722753645915007,0.01769052846165909,,0.6343490304709141,0.15512465373961218,,,,,,65-70%,131 stores ▸,0.01711,1.476,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,A,21
Mumbai,0.0029647038835638744,0.008973396950347582,0.0021746825048491454,0.0010052243349237587,0.015118007673684361,,0.593556845851283,0.19610413935193854,,,,,,70-75%,172 stores ▸,0.01667,1.391,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,A,21
Pune,0.002759732617803512,0.010150402485524644,0.0023242950619027443,0.000429553264604811,0.01566398342983571,,0.6480090157776108,0.17618332081142,,,,,,75-80%,162 stores ▸,0.01684,1.404,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,5826,SKM BEST BROWN EGGS 6.00 PIECES,A,21
Noida 1,0.0030699673467109484,0.01378694426613826,0.005260807680500125,0.001744299628813039,0.02386201892216237,,0.5777777777777778,0.12865497076023394,,,,,,80-85%,141 stores ▸,0.01596,1.433,,,,5824,SKM BEST FRESH EGGS 6.00 PIECES,21,,5825,SKM BEST PLUS EGGS 12.00 PIECES,A,21
Gurgaon,0.002994326539188905,0.010369825593612103,0.0026371086362681237,0.00150241647404917,0.017503677243118302,,0.592436974789916,0.17106842737094838,,,,,,85-90%,113 stores ▸,0.01494,1.45,,,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,21,,5824,SKM BEST FRESH EGGS 6.00 PIECES,A,21
,,,,,,,,,,,,,,90%+,174 stores ▸,0.01395,1.472,,,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,21,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,A,21
C.IGCC Reason Level Contribution,,,,,,,,,,,,,,,,,,,,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,20672,UPF CAGE FREE EGGS - VEG FEED & INFERTILE 6.00 PIECES,A,21
Basic reason,SPOC,Bangalore,Chennai,Mumbai,Hyderabad,Delhi,Pune,Kolkata,Noida 1,Gurgaon,,,,,,,,,,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,21,,11474,ABHI EGGS GOLD+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
Customer perception / Wrong claim,CX,0.0018446577682139744,0.0031083746787016558,0.0027515268740342064,0.002949302757612869,0.0022544283413848632,0.002674071202134696,0.002631974733042563,0.002972330306960657,0.0027885951351245574,,,,,,,,,,,11471,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,35079,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS 24.00 PIECES,A,21
Damage in transit,Pod,0.000001469846827262131,0,0.000002628010385897045,0,0,0,0,0,0.000009784544333770376,,,,,,,,,,,11472,ABHI EGGS VITAMIN D3 WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,21,,11471,ABHI EGGS NUTRI+ WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
External Damage/Bruises,Pod,0.004672643063866315,0.008762522284303763,0.007912939271936002,0.007084834608307745,0.00819466809804974,0.009025703012748876,0.006119341254323958,0.007971249459576307,0.009119195319073991,,,,,,,,,,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,21,,11472,ABHI EGGS VITAMIN D3 WITH IMMUNITY BOOSTERS EGGS 6.00 PIECES,A,21
External Rotten/ Fungal,Pod,0.0017344192561693146,0.0005309554032623869,0.0001392845504525434,0.00014495068718458435,0.0005623290647445236,0.0006556891007366524,0.004276958941194164,0.004850302637267618,0.0002054754310091779,,,,,,,,,,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,21,,774,DELFREZ SUGUNA NOURISH - VITAMINS & MINERALS EGG 6.00 PIECES,A,21
Internal Rotten,Sourcing,0.001131782056991841,0.001156849852141227,0.001214140798284435,0.0012424344615821516,0.0012575722720650257,0.0011802403813259744,0.0011937885396300196,0.0017428664072632945,0.0012328525860550673,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,2659,DELFREZ NOURISH -VITAMINS & MINERALS EGG 12.00 PIECES,A,21
Taste / water content,Sourcing,0.0005747101094594932,0.0002777846149518448,0.0003442693605525129,0.00025440324689539296,0.0008639419267438591,0.000262275640294661,0.0008365919687171003,0.0014051015996541288,0.0005479344826911411,,,,,,,,,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,16886,KKP WHITE EGGS 12.00 PIECES,A,21
Incorrect size (sourcing issue),Sourcing,0.00022635641139836818,0.00003516260948757529,0.000002628010385897045,0.000017749063736887877,0.00006134498888122077,0.00003991151047962232,0.0002067980147390585,0.00013510592304366624,0,,,,,,,,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,13422,KKP WHITE REGULAR EGGS 6PC 6.00 PIECES,A,21
Overripe,Pod,0.00020724840264396048,0.00023207322261799694,0.0002733130801332927,0.00028102684250072476,0.0003322853564399458,0.00015394439756425754,0.0003665964806737855,0.0005269130998702983,0.0003228899630144224,,,,,,,,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,5827,SKM BEST BROWN EGGS 12.00 PIECES,A,21
Raw,Sourcing,0.0006937677024677259,0.000492276532826054,0.0004572738071460858,0.0007425024996598096,0.0005930015591851341,0.0007697219878212877,0.0004981952173259137,0.0018104193687851276,0.000675133559030156,,,,,,,,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,20670,UPF HEALTHY WHITE EGGS- VEG FED & INFERTILE 6.00 PIECES,A,21
Shrivelled / Dry,WH,0.0006540818381316483,0.0005344716642111444,0.0005807902952832469,0.00046443383444856617,0.000848605679523554,0.00022236412981503867,0.0003759963904346518,0.0006214872460008646,0.000909962623040645,,,,,,,,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,27252,Eggoz Farm Fresh High Protein White Eggs Box,A,21
Underweight (packing issue),WH,0.000583529190423066,0.00043953261859469117,0.00035215339171020406,0.0003372322110008697,0.0005623290647445236,0.00019385590804387985,0.0004605955782824485,0.0010673367920449631,0.0004892272166885189,,,,,,,,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,697269,Yolkers Classic Eggs,A,21
Total,,0.012324665646592969,0.015570003481098337,0.01403094745030432,0.013518870212929603,0.015530506351762391,0.015177777270964945,0.016966837118363665,0.023103112840466927,0.016301050860061447,,,,,,,,,,,16886,KKP WHITE EGGS 12.00 PIECES,21,,7422,Yojana Poultry White Omega Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,13422,KKP WHITE REGULAR EGGS 6PC 6.00 PIECES,21,,6882,Farm Made Foods Free Range Brown Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,5827,SKM BEST BROWN EGGS 12.00 PIECES,21,,20671,UPF FOODS Healthy Brown Eggs - Veg Fed & Infertile,A,21
,,,,,,,,,,,,,,,,,,,,,5824,SKM BEST FRESH EGGS 6.00 PIECES,21,,7421,Yojana Poultry Brown Shell Eggs,A,21
,,,,,,,,,,,,,,,,,,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,20672,UPF FOODS Cage Free Eggs - Veg Feed & Infertile,A,21
,Columns,,,,,,,,,,,,,,,,,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,72823,Yojana Poultry'S Fresh Eggs,A,21
Rows,Values,,,,,,,22,23,,WH_NAME,VENDORNAME,CC Name,City,city manager,,,,,,20671,UPF HEALTHY BROWN EGGS - VEG FED & INFERTILE 6.00 PIECES,21,,4005,Hen Fruit White A Grade Eggs,A,21
,,,,,,,,TOTAL,TOTAL,,HYD FNV1 SG,MOKSH CC CHIKKBALLAPUR,MOKSH CC CHIKKBALLAPUR,Bangalore,Rafuddin,,,Warehouse_Name,City,City Manager,20670,UPF HEALTHY WHITE EGGS- VEG FED & INFERTILE 6.00 PIECES,21,,1723,Hen Fruit Protein Rich Hen White Eggs,A,21
