WEEK,CITY,Basic Reason for IGCC,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Kota,Taste / water content,Sourcing,982,1,0.001
9,Vadodara,Raw,Sourcing,1429,1,0.0007
9,Moradabad,External Damage/Bruises,Pod,381,1,0.0026
9,Mathura,External Damage/Bruises,Pod,180,1,0.0056
9,Pondicherry,Customer perception / Wrong claim,CX,1974,4,0.002
9,Kozhikode,External Rotten/ Fungal,Pod,2229,1,0.0004
9,Amritsar,External Damage/Bruises,Pod,524,2,0.0038
9,Cuttack,Underweight (packing issue),WH,466,1,0.0021
9,Faridabad,External Rotten/ Fungal,Pod,2610,1,0.0004
9,Mumbai,Raw,Sourcing,59923,77,0.0013
9,Chennai,Underweight (packing issue),WH,44609,30,0.0007
9,Coimbatore,Raw,Sourcing,5012,3,0.0006
9,Delhi,Raw,Sourcing,27539,64,0.0023
9,Kochi,External Damage/Bruises,Pod,14867,58,0.0039
9,Bareilly,External Damage/Bruises,Pod,391,4,0.0102
9,Mumbai,Underweight (packing issue),WH,59923,17,0.0003
9,Bhopal,External Damage/Bruises,Pod,1253,9,0.0072
9,Jaipur,Internal Rotten,Sourcing,3789,4,0.0011
9,Ludhiana,Raw,Sourcing,1470,4,0.0027
9,Delhi,Shrivelled / Dry,WH,27539,5,0.0002
9,Kollam,Customer perception / Wrong claim,CX,1487,1,0.0007
9,Kolkata,Shrivelled / Dry,WH,17654,4,0.0002
9,Meerut,Taste / water content,Sourcing,388,1,0.0026
9,Dehradun,Shrivelled / Dry,WH,2013,1,0.0005
9,Kota,Raw,Sourcing,982,1,0.001
9,Warangal,Internal Rotten,Sourcing,1310,2,0.0015
9,Kanchipuram,Customer perception / Wrong claim,CX,595,1,0.0017
9,Thiruvananthapuram,Shrivelled / Dry,WH,7074,1,0.0001
9,Ujjain,Raw,Sourcing,413,1,0.0024
9,Shivamogga,External Damage/Bruises,Pod,582,2,0.0034
9,Chandigarh,Taste / water content,Sourcing,7031,6,0.0009
9,Chandigarh,External Damage/Bruises,Pod,7031,56,0.008
9,Nizamabad,External Damage/Bruises,Pod,80,2,0.025
9,Madurai,External Damage/Bruises,Pod,1397,9,0.0064
9,Ludhiana,External Damage/Bruises,Pod,1470,15,0.0102
9,Pune,Shrivelled / Dry,WH,27453,7,0.0003
9,Coimbatore,Internal Rotten,Sourcing,5012,3,0.0006
9,Gurgaon,Damage in transit,Pod,14302,4,0.0003
9,Thiruvallur,External Damage/Bruises,Pod,463,3,0.0065
9,Patiala,Overripe,Pod,624,1,0.0016
9,Kurnool,Overripe,Pod,824,1,0.0012
9,Karnal,Customer perception / Wrong claim,CX,174,1,0.0057
9,Amritsar,Customer perception / Wrong claim,CX,524,1,0.0019
9,Agra,Customer perception / Wrong claim,CX,403,1,0.0025
9,Kakinada,Shrivelled / Dry,WH,603,1,0.0017
9,Vizag,Raw,Sourcing,3011,5,0.0017
9,Kolkata,Taste / water content,Sourcing,17654,19,0.0011
9,Hyderabad,Underweight (packing issue),WH,56962,32,0.0006
9,Trichy,Raw,Sourcing,1377,2,0.0015
9,Hyderabad,Raw,Sourcing,56962,22,0.0004
9,Noida,Raw,Sourcing,3496,5,0.0014
9,Coimbatore,External Damage/Bruises,Pod,5012,26,0.0052
9,Kota,Customer perception / Wrong claim,CX,982,6,0.0061
9,Mangaluru,External Rotten/ Fungal,Pod,3249,2,0.0006
9,Cuttack,External Damage/Bruises,Pod,466,2,0.0043
9,Tirupati,Internal Rotten,Sourcing,1901,3,0.0016
9,Vellore,External Damage/Bruises,Pod,1112,2,0.0018
9,Manipal,Customer perception / Wrong claim,CX,1352,4,0.003
9,Vellore,Customer perception / Wrong claim,CX,1112,1,0.0009
9,Manipal,Taste / water content,Sourcing,1352,1,0.0007
9,Vijayawada,Underweight (packing issue),WH,2956,2,0.0007
9,Noida,Underweight (packing issue),WH,3496,2,0.0006
9,Rudrapur,Customer perception / Wrong claim,CX,211,1,0.0047
9,Chandigarh,Shrivelled / Dry,WH,7031,1,0.0001
9,Bhopal,Raw,Sourcing,1253,4,0.0032
9,Siliguri,External Rotten/ Fungal,Pod,339,2,0.0059
9,Jamshedpur,Taste / water content,Sourcing,775,2,0.0026
9,Thiruvalla,External Damage/Bruises,Pod,688,2,0.0029
9,Hyderabad,Shrivelled / Dry,WH,56962,12,0.0002
9,Rohtak,Customer perception / Wrong claim,CX,430,3,0.007
9,Shivamogga,Overripe,Pod,582,1,0.0017
9,Delhi,External Damage/Bruises,Pod,27539,149,0.0054
9,Bangalore,Underweight (packing issue),WH,94481,25,0.0003
9,Noida,Customer perception / Wrong claim,CX,3496,14,0.004
9,Rajkot,External Damage/Bruises,Pod,545,5,0.0092
9,Ahmedabad,Internal Rotten,Sourcing,6909,11,0.0016
9,Noida,External Damage/Bruises,Pod,3496,22,0.0063
9,Kakinada,External Damage/Bruises,Pod,603,2,0.0033
9,Lucknow,Shrivelled / Dry,WH,3248,1,0.0003
9,Siliguri,Customer perception / Wrong claim,CX,339,1,0.003
9,Bikaner,External Rotten/ Fungal,Pod,159,2,0.0126
9,Sri Ganganagar,Customer perception / Wrong claim,CX,473,1,0.0021
9,Patiala,External Rotten/ Fungal,Pod,624,1,0.0016
9,Ajmer,Customer perception / Wrong claim,CX,244,1,0.0041
9,Gurgaon,Overripe,Pod,14302,3,0.0002
9,Pondicherry,External Rotten/ Fungal,Pod,1974,1,0.0005
9,Mysore,Taste / water content,Sourcing,3476,1,0.0003
9,Tirupur,Taste / water content,Sourcing,904,1,0.0011
9,Kolkata,Internal Rotten,Sourcing,17654,22,0.0012
9,Gurgaon,Shrivelled / Dry,WH,14302,3,0.0002
9,Faridabad,Raw,Sourcing,2610,7,0.0027
9,Kurnool,Customer perception / Wrong claim,CX,824,3,0.0036
9,Pune,Underweight (packing issue),WH,27453,5,0.0002
