Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0,0,0.002609364604125083,0.0032825605832356936,0.00474879624636982,0.0037620478806093894,0.0019265550051112683,Tier-1
Bangalore,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,0,0,,,,Bangalore,Pod,Damage in transit,0,0,0.000010395874916833001,0.000027897115438263685,0.000056758520872946054,0,0,Tier-1
Chennai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Damage/Bruises,0,0,0.005884065202927479,0.0054585355874202605,0.00546773751076047,0.007047362420976267,0.004531336006919871,Tier-1
Delhi,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Pod,External Rotten/ Fungal,0,0,0.0023182801064537593,0.0021387788502668825,0.0024406163975366803,0.001202197118872422,0.0025458048281827477,Tier-1
Hyderabad,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Internal Rotten,0,0,0.0010395874916833,0.0010414923096951775,0.0008513778130941908,0.0008083739247590424,0.0012778170952268617,Tier-1
Kolkata,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Taste / water content,0,0,0.000447022621423819,0.0004370548085327977,0.00039730964611062235,0.00036273188931495494,0.0003833451285680585,Tier-1
Mumbai,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0,0,0.000218313373253493,0.0001673826926295821,0.0002648730974070816,0.0001969115970566898,0.00032436895494220334,Tier-1
Pune,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Overripe,0,0,0.000114354624085163,0.00021387788502668823,0.00024595359044943287,0.0002694579749196808,0.0002850515058582999,Tier-1
Noida 1,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,DP,Raw,0,0,0.0006133566200931471,0.001106585579051126,0.0004824474274200414,0.0001969115970566898,0.0003636864040261068,Tier-1
Gurgaon,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,,Bangalore,WH,Shrivelled / Dry,0,0,0.0008836493679308051,0.0022689653889787797,0.004729876739412171,0.000673644937299202,0.0017889439333176064,Tier-1
