Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/19/2026-Tumakuru-1128,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),34,Tumakuru,1128,Sweet Potato,1,24,External Damage/Bruises (1.00)
8/20/2026-Nellore-20422,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Nellore,20422,Daily Apple,1,27,Underweight (packing issue) (1.00)
8/21/2026-Kochi-4078,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Kochi,4078,Desi Cucumber Cut,1,4,Internal Rotten (1.00)
8/23/2026-Agra-3796,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Agra,3796,Lemon,1,18,External Damage/Bruises (1.00)
8/19/2026-Raipur-99610,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),34,Raipur,99610,Small Cabbage,2,8,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
8/23/2026-Delhi-1049,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Delhi,1049,Colocasia (Arbi),9,481,"External Damage/Bruises (6.00), Shrivelled / Dry (3.00)"
8/19/2026-Mumbai-6483,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,6483,Mandarin Orange,6,771,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00), Taste / water content (1.00)"
8/20/2026-Mumbai-1041,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,1041,Green Chilli,1,159,Customer perception / Wrong claim (1.00)
8/23/2026-Mumbai-8688,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,8688,Daily Juice Sweet Lime,2,404,"Internal Rotten (1.00), Raw (1.00)"
8/22/2026-Nellore-1131,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Nellore,1131,Kiran Watermelon,3,90,"Internal Rotten (2.00), Customer perception / Wrong claim (1.00)"
8/23/2026-Manipal-2116,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Manipal,2116,Onion,1,108,Customer perception / Wrong claim (1.00)
8/20/2026-Chennai-1128,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Chennai,1128,Sweet Potato,9,1251,"External Damage/Bruises (5.00), Customer perception / Wrong claim (4.00)"
8/23/2026-Lucknow-6132,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Lucknow,6132,Small Green Capsicum,1,165,External Rotten/ Fungal (1.00)
8/22/2026-Ranchi-9418,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Ranchi,9418,Indian Snacky Apple,1,6,External Damage/Bruises (1.00)
8/22/2026-Tirupur-2609,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Tirupur,2609,Cowpea Beans,1,11,External Damage/Bruises (1.00)
8/20/2026-Hyderabad-3796,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Hyderabad,3796,Lemon,8,3457,"Raw (3.00), Customer perception / Wrong claim (2.00), External Damage/Bruises (2.00), Underweight (packing issue) (1.00)"
8/20/2026-Pondicherry-6483,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Pondicherry,6483,Mandarin Orange,1,48,Internal Rotten (1.00)
8/19/2026-Chennai-52733,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),34,Chennai,52733,Flower Mix,1,129,Customer perception / Wrong claim (1.00)
8/21/2026-Chennai-1106,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Chennai,1106,Pomegranate,3,395,External Damage/Bruises (3.00)
8/22/2026-Vizag-4599,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Vizag,4599,Lady's Finger,1,202,Customer perception / Wrong claim (1.00)
8/23/2026-Delhi-4563,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Delhi,4563,Bitter Gourd,5,165,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00)"
8/23/2026-Chennai-9500,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Chennai,9500,Jasmine Garland (1 - 1.3 ft),1,18,Shrivelled / Dry (1.00)
8/21/2026-Coimbatore-1066,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Coimbatore,1066,Drumstick,1,270,External Damage/Bruises (1.00)
8/22/2026-Ahmedabad-5339,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Ahmedabad,5339,Pineapple Peeled (Ananas) - Whole,1,37,Internal Rotten (1.00)
8/22/2026-Pune-5005,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,5005,Sweet Beauty Red Pear,1,38,Customer perception / Wrong claim (1.00)
8/23/2026-Noida-639210,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Noida,639210,Avocado Mini Gems,1,17,Internal Rotten (1.00)
8/20/2026-Noida-9499,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Noida,9499,Mixed Marigold Flowers,1,22,Shrivelled / Dry (1.00)
8/23/2026-Ahmedabad-1007,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Ahmedabad,1007,Yelakki Banana,1,79,Customer perception / Wrong claim (1.00)
8/21/2026-Bangalore-85665,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Bangalore,85665,Rose Garland (1.5 - 1.7 ft),8,741,"Shrivelled / Dry (5.00), Customer perception / Wrong claim (3.00)"
8/22/2026-Vijayawada-1005,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Vijayawada,1005,Robusta Banana,1,106,External Damage/Bruises (1.00)
8/20/2026-Pune-10664,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,10664,Red Flesh Dragon Fruit Indian,4,586,External Damage/Bruises (4.00)
8/22/2026-Kozhikode-1074,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Kozhikode,1074,Garlic,1,72,External Rotten/ Fungal (1.00)
8/23/2026-Noida 1-1284,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Noida 1,1284,Indian Tomato,9,2039,"External Damage/Bruises (3.00), Customer perception / Wrong claim (3.00), Underweight (packing issue) (2.00), External Rotten/ Fungal (1.00)"
8/23/2026-Bangalore-1292,Sun Aug 23 2026 00:00:00 GMT+0530 (India Standard Time),34,Bangalore,1292,Lettuce Iceberg,4,9,"External Rotten/ Fungal (2.00), Customer perception / Wrong claim (1.00), Shrivelled / Dry (1.00)"
8/21/2026-Mumbai-4363,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,4363,Valencia Orange,2,183,"External Rotten/ Fungal (1.00), Customer perception / Wrong claim (1.00)"
8/21/2026-Pune-85194,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,85194,Robusta Banana (Perfectly Ripened),1,206,Raw (1.00)
8/19/2026-Mumbai-51935,Wed Aug 19 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,51935,Baby Yelakki Banana,1,604,Raw (1.00)
8/20/2026-Gurgaon-3796,Thu Aug 20 2026 00:00:00 GMT+0530 (India Standard Time),34,Gurgaon,3796,Lemon,5,782,"External Damage/Bruises (4.00), Customer perception / Wrong claim (1.00)"
8/21/2026-Pune-736728,Fri Aug 21 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,736728,Bobby Muskmelon (White Flesh),2,12,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
8/22/2026-Pune-1041,Sat Aug 22 2026 00:00:00 GMT+0530 (India Standard Time),34,Pune,1041,Green Chilli,3,53,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00)"
