Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 07 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 06 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0,0.002023501011750506,0.0010725645387972484,0.000981043703914681,0.0008236101578586136,0.0009257311171891436,0.0005934096621055572,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0,0.00021300010650005324,0,0,0.000034317089910775565,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0,0.00010650005325002662,0.00022190990457874102,0.00037975885312826357,0.00013726835964310226,0.00025247212286976645,0.00020943870427254956,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0,0.00021300010650005324,0.0005547747614468526,0.0005696382796923954,0.0003774879890185312,0.0008415737428992215,0.0007679419156660151,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0,0.0010650005325002663,0.0014424143797618168,0.0011392765593847907,0.0006863417982155113,0.0005049442457395329,0.0005934096621055572,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0,0.0009585004792502396,0.0003698498409645684,0.00037975885312826357,0.0002059025394646534,0.0004628655585945718,0.00017453225356045798,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0,0.0032224451991355357,0.0037517524633216832,0.003353266640585704,0.0029836090339149485,0.0027576985751890694,0.0029742299938120046,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0.00001974606559642991,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0,0.006367706082124112,0.007148075745907628,0.005812328843681887,0.00585391645894705,0.005766097020849873,0.005529273209972653,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0.000019296079036739735,0.00013822245917500937,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0,0.001022692188947206,0.0009873032798214955,0.0009500922148326161,0.0009252964725432434,0.0010027994818869344,0.0010379863065652635,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0,0.000289441185551096,0.00015796852477143928,0.00020492185025801525,0.00015106881184379485,0.00022980821459908912,0.000299419126893826,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0,0,0,0.000018629259114365022,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0,0.00015436863229391788,0.0002961909839464487,0.00013040481380055516,0.0002454868192461666,0.00022980821459908912,0.00031938040202008104,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0,0.0006367706082124113,0.000651620164682187,0.0004098437005160305,0.0006042752473751794,0.000584966364434045,0.0007385671796714374,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0,0.0011770608212411239,0.0012637481981715142,0.0006520240690027758,0.0006798096532970768,0.0005222913968161117,0.00033934167714633613,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0,0.00048240197591849335,0.0005528898367000375,0.0005775070325453157,0.0005476244429337563,0.0004805080850708227,0.0005189931532826317,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0,0.0021350078492935634,0.0030278562777553493,0.002665299846232701,0.0022343872193051058,0.0016567896514369464,0.0014125125066211525,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0,0.005149136577708006,0.006392141030816849,0.005381855458739108,0.004301195397162328,0.004970368954310839,0.0045906656465187455,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0,0.0035164835164835165,0.002960570582694119,0.0035366478728856995,0.004133616355714445,0.0041419741285923664,0.002825025013242305,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0,0.001130298273155416,0.0009419997308572198,0.0008200922603792927,0.0010054742486872974,0.0008921175046198943,0.0005885468777588135,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0,0.00018838304552590266,0.0014129995962858296,0.00097385955920041,0.000782035526756787,0.0003823360734085261,0.0005885468777588135,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0,0.00018838304552590266,0.00013457139012245997,0.00020502306509482317,0.00016757904144788292,0.00012744535780284203,0.00017656406332764406,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0,0.0003139717425431711,0.0007401426456735298,0.0005125576627370579,0.0005027371243436487,0.00019116803670426305,0.0002354187511035254,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0,0.00018838304552590266,0.0006728569506122998,0.0005125576627370579,0.0003910177633783935,0.0010195628624227362,0.0005885468777588135,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0,0.0003139717425431711,0.0016821423765307495,0.0007175807278318811,0.0005027371243436487,0.0003186133945071051,0.0002354187511035254,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0,0.0002511773940345369,0.00013457139012245997,0.0005638134290107637,0.0005027371243436487,0.00044605875230994713,0.0003531281266552881,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0,0.0021336727245503378,0.0024299599771297883,0.0020845985916648885,0.002521886371005512,0.0024099441907661084,0.0025260931717155893,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0,0,0.000018013474078610802,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0,0.005839525351400925,0.007596177407498162,0.007172988854783908,0.007043268364736823,0.006553357009978014,0.006912487516400024,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0,0,0.0002450379808870375,0.0002790407563645914,0.0001080808444716648,0.00014797902925756806,0.00007832847044079347,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0,0.0011604184993168503,0.0011843502409540146,0.0012474763225711143,0.0009367006520877617,0.0010358532048029764,0.001331583997493489,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0,0.00028074641112504445,0.00040839663481172917,0.00029545491850368496,0.0002521886371005512,0.00040165736512768474,0.0002937317641529755,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0.000018013474078610802,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0,0.00020588070149169926,0.00022461814914645105,0.00009848497283456166,0.0001080808444716648,0.00012683916793505834,0.00013707482327138856,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0,0.00050534354002508,0.0005921751204770073,0.00042676821561643384,0.0006845120149872104,0.0008033147302553695,0.0006266277635263478,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0,0.00039304497557506225,0.000490075961774075,0.0003611115670600594,0.000360269481572216,0.0005496363943852528,0.0004308065874243641,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0,0.00011229856445001779,0.00016335865392469166,0.00013131329711274888,0.000180134740786108,0.0001902587519025875,0.0001762390584917853,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0,0.0027526543452615023,0.0031070440519259416,0.0019383388801521412,0.003773891165848314,0.002954482503923922,0.0024836209480580654,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0,0.005549001616638266,0.008044264737178123,0.007351058771897743,0.005884023860731242,0.005170344381866864,0.005952126065173639,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0,0,0.00004256224728665674,0,0.00008115894980318955,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0,0.0007864726700747149,0.0009363694403064481,0.001609186994843287,0.0014608610964574119,0.0013849136737143384,0.0010705262707146833,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0,0.0002184646305763097,0.00029793573100659715,0.0002925794536078704,0.0002840563243111634,0.0002769827347428677,0.00017128420331434933,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,DP,Overripe,0,0.00008738585223052388,0.0001276867418599702,0.0003291518853088542,0.00004057947490159477,0.0002769827347428677,0.00042821050828587335,Tier-1
,,,,,,,,,,,,,,Pune,DP,Raw,0,0.0005243151133831433,0.000638433709299851,0.0004754416121127894,0.0004463742239175425,0.000646293047733358,0.0004710315591144607,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0,0.0002184646305763097,0.0003830602255799106,0.000182862158504919,0.0001623178996063791,0.0002769827347428677,0.00017128420331434933,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0,0.0002184646305763097,0.00029793573100659715,0.00040229674871082176,0.00020289737450797387,0.000323146523866679,0.00017128420331434933,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0,0.0029366615497563907,0.0026736134914650033,0.0030380651694763804,0.004072453197179674,0.0025815334308579296,0.002621696308368171,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0,0.006807715410798905,0.008157948858572702,0.008458926550306785,0.010272307318259179,0.006281731348420962,0.007227379012258201,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0,0,0.00013710838417769247,0.0002382796211354024,0.00018234865061998541,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0,0.0014683307748781954,0.001782408994310002,0.0013701078215285637,0.001337223437879893,0.0009465622579812408,0.0013462764826755473,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0,0.0006674230794900888,0.0006169877287996161,0.0001191398105677012,0.0006686117189399465,0.000602357800533517,0.0002834266279316942,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0,0.00013348461589801776,0.00013710838417769247,0.0003574194317031036,0.00012156576707999027,0.00034420445744772393,0.0002834266279316942,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0,0.0008009076953881065,0.00027421676835538494,0.0009531184845416096,0.0007293946024799417,0.00043025557180965496,0.0008502798837950826,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0,0.0008676500033371154,0.0012339754575992322,0.0009531184845416096,0.00036469730123997083,0.00034420445744772393,0.0009211365407780061,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0,0.0003337115397450444,0.0004113251525330774,0.0001787097158515518,0.00036469730123997083,0.0006884089148954479,0.0004959965988804648,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0,0.0015087747161121258,0.003126848643623764,0.0017241379310344827,0.0031785925487877,0.0023464599061416035,0.002367382726874178,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0,0.004129278170412133,0.004732527676835967,0.005172413793103448,0.007244234180958013,0.004080799836768007,0.0045594037702761945,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0,0.004049868974827285,0.0048170370996366094,0.004525862068965518,0.00517445298639858,0.003162619873495205,0.0033318719859710653,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0,0.0013499563249424282,0.0016056790332122032,0.0015804597701149425,0.0010348905972797163,0.001836359926545603,0.0014028934677772908,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0,0.0011117287381878821,0.0014366601876109185,0.001293103448275862,0.0012566528681253696,0.000612119975515201,0.00131521262604121,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0,0.00015881839116969746,0.00016901884560128455,0.00021551724137931034,0.0003696037847427558,0.00010201999591920016,0.0003507233669443227,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0,0.0002382275867545462,0.00008450942280064228,0.00035919540229885057,0.0005174452986398581,0.00040807998367680065,0.00043840420868040335,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0,0.0003176367823393949,0.00042254711400321134,0.001293103448275862,0.0004435245416913069,0.0008161599673536013,0.0009644892590968873,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0,0.0011117287381878821,0.000929603650807065,0.0011494252873563218,0.000960969840331165,0.0008161599673536013,0.000526085050416484,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Underweight (packing issue),0,0.0010323195426030333,0.0013521507648102764,0.0007902298850574713,0.0022915434654050856,0.0008161599673536013,0.0006137658921525647,Tier-1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B.7days trend (City vs spoc level),,,,,,,,,,,,,,,,,,,,,,,,
CITY,SPOC,Thu Aug 06 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 07 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Avg,,,,,,,,,,,,,,,
Bangalore,CX,0.0013219786638792388,0.001465334673882816,0.0015698899089861293,0.002098904960443714,0.0018965943761853714,0.0018905533978587428,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Pod,0.0015679281827404926,0.0015794239915573904,0.0017520501304929587,0.0015338151634011758,0.002168027266980017,0.0019453520470720396,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Sourcing,0.0005687582623666493,0.0004465527199606392,0.0006060967370136322,0.0006102020077308083,0.0005334171683021357,0.0005342868298296447,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,WH,0.0005636343140570398,0.0005454895501315593,0.0005762887007670602,0.0006315709496357782,0.0010101426568813392,0.0008117049914719602,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,CX,0.0032170196778283943,0.0035844129243688874,0.0023008135866600253,0.00319702762836714,0.00250272034820457,0.002744888227220917,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Pod,0.004520264875780773,0.0035588099749091096,0.0034630802438388006,0.004115092994621217,0.002557127312295974,0.0030007676382330364,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Sourcing,0.0006653203713270401,0.0005717992046017034,0.0006325260719340275,0.0005184369127081848,0.000544069640914037,0.0005505284297533477,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,WH,0.00035222843187902126,0.0004736545650058887,0.0003676557793116535,0.00042122999157540015,0.0011289445048966267,0.0005699132336179023,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,CX,0.002164199944149679,0.0029455081001472753,0.0018188057652711051,0.002721605114085889,0.002367038982173238,0.0015620007810003905,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Pod,0.002641254770548264,0.0024686163125043833,0.0030199039121482497,0.003048619682057449,0.0032053652883595927,0.002496834581750624,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Sourcing,0.0007446709485246207,0.0009117048881408233,0.0006177076183939602,0.0009388482757893182,0.0010479078827329439,0.0009318754659377329,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
