WEEK,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
27,Berhampur,1403747,WH,1581,1,0.0006
27,Eluru,1404570,Sourcing,1172,1,0.0009
27,Hyderabad,1399810,WH,2521,1,0.0004
27,Hyderabad,1404758,WH,1852,1,0.0005
27,Palakkad,1404925,CX,2059,1,0.0005
27,Kolkata,1391895,WH,761,1,0.0013
27,Chandigarh,1403687,WH,1485,1,0.0007
27,Patna,1404890,WH,1080,2,0.0019
27,Coimbatore,1403475,Sourcing,1713,2,0.0012
27,Erode,1401078,WH,2192,1,0.0005
27,Chennai,1404929,Sourcing,1879,2,0.0011
27,Thiruvallur,1403143,Sourcing,1990,1,0.0005
27,Kolkata,1404586,WH,1618,2,0.0012
27,Lucknow,1400973,Pod,747,1,0.0013
27,Thrissur,1402455,CX,3583,1,0.0003
27,Vizag,1403366,WH,1303,1,0.0008
27,Tirupati,1404568,WH,2745,1,0.0004
27,Vizianagaram,1402790,WH,1212,1,0.0008
27,Ahmedabad,1403829,WH,2183,1,0.0005
27,Hyderabad,1404791,Sourcing,1601,1,0.0006
27,Chennai,1387907,WH,2906,2,0.0007
27,Mumbai,1400552,CX,1394,3,0.0022
27,Delhi,1099459,CX,2153,4,0.0019
27,Ahmedabad,1402796,WH,2041,1,0.0005
27,Mumbai,1397051,CX,1939,1,0.0005
27,Gurgaon,1404613,Sourcing,3259,4,0.0012
27,Delhi,1405012,CX,1125,2,0.0018
27,Chennai,1386813,WH,3316,1,0.0003
27,Bangalore,1402048,CX,2204,2,0.0009
27,Gwalior,1402255,WH,1449,2,0.0014
27,Bhopal,1397619,Sourcing,982,2,0.002
27,Rajkot,1395731,WH,1772,1,0.0006
27,Bangalore,1382870,WH,3634,3,0.0008
27,Gurgaon,1389633,WH,4665,1,0.0002
27,Chennai,854384,WH,2464,1,0.0004
27,Vizag,1403846,CX,1227,4,0.0033
27,Nagpur,1397035,WH,1189,1,0.0008
27,Siliguri,1403752,WH,1315,1,0.0008
27,Khammam,1404961,Sourcing,760,1,0.0013
27,Tirupur,1401274,Sourcing,2582,1,0.0004
27,Hyderabad,1404881,Pod,1696,24,0.0142
27,Bangalore,1403144,Pod,2532,18,0.0071
27,Mumbai,1381967,Pod,5407,41,0.0076
27,Bangalore,1400610,Pod,5964,55,0.0092
27,Pune,1404754,Sourcing,2808,5,0.0018
27,Chennai,1404766,CX,1645,4,0.0024
27,Vizag,1402270,Pod,1191,8,0.0067
27,Chennai,1380670,WH,2006,10,0.005
27,Chennai,1399697,Pod,4256,34,0.008
27,Meerut,1403188,Pod,1128,11,0.0098
27,Mangaluru,1404928,Pod,2160,15,0.0069
27,Coimbatore,1392529,CX,3377,9,0.0027
27,Patiala,1401269,Pod,1162,12,0.0103
27,Lucknow,1339714,WH,1263,2,0.0016
27,Chennai,1402801,CX,2368,4,0.0017
27,Mumbai,1404642,Pod,3985,30,0.0075
27,Gurgaon,1380623,CX,3883,19,0.0049
27,Coimbatore,1402051,Pod,1834,22,0.012
27,Bangalore,1396285,CX,3214,6,0.0019
27,Hyderabad,1393828,Sourcing,4830,6,0.0012
27,Lucknow,1397032,Pod,1633,11,0.0067
27,Delhi,1230886,Pod,2678,16,0.006
27,Coimbatore,1388684,CX,2124,10,0.0047
27,Ujjain,1401277,Pod,1342,14,0.0104
27,Delhi,1099457,Pod,2416,22,0.0091
27,Rajkot,1395731,CX,1772,9,0.0051
27,Guwahati,1402469,Pod,2673,23,0.0086
27,Vijayawada,1404636,Pod,2321,12,0.0052
27,Delhi,810368,Pod,2030,16,0.0079
27,Kochi,1382427,Pod,4398,27,0.0061
27,Mumbai,1403211,Pod,3430,26,0.0076
27,Kakinada,1402078,Pod,2213,19,0.0086
27,Mumbai,1381643,Sourcing,3410,8,0.0023
27,Mumbai,1230883,Pod,2278,18,0.0079
27,Kolkata,1382353,Pod,2297,25,0.0109
27,Bangalore,1388112,CX,4384,14,0.0032
27,Bangalore,1387561,Sourcing,5795,16,0.0028
27,Bangalore,1402441,Pod,2041,15,0.0073
27,Gurgaon,762551,Sourcing,5851,17,0.0029
27,Noida 1,1401267,Sourcing,2659,9,0.0034
27,Coimbatore,1404942,Pod,1057,11,0.0104
27,Kolkata,1404892,CX,1096,5,0.0046
27,Jamshedpur,1401659,Pod,2020,21,0.0104
27,Pondicherry,1402266,Pod,2501,16,0.0064
27,Mysore,1403416,Sourcing,1759,5,0.0028
27,Chennai,1369819,CX,4547,7,0.0015
27,Chandigarh,1385943,Pod,1623,7,0.0043
27,Bangalore,1396467,Pod,2845,19,0.0067
27,Nagpur,1392532,Pod,1713,12,0.007
27,Pune,1390228,CX,4799,12,0.0025
