week num ,28,,,,,,,,,,,,,,,,29,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,0.005201172204966926,0.0022290738021286827,0.1606415359400609,0.19999999999999998,,,,,,,,,,,,,,,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,21,,SKU_Code,SKUName,Symboll,Shelf Life
,,,,,,,,,,,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,A,21
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,SPOC,Basic Reason for IGCC,,,FEFO band,Stores,Band QnP % (pooled),Band DOH (pooled),,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,A,21
Bangalore,0.001872993801089033,0.0074302460070956085,0.003149813512846171,0.0014230204421110085,0.013876073763141821,,0.5354717864668695,0.13498009833762586,,Pod,External Rotten/ Fungal,,,<50%,1 stores ▸,0.02026,1.596,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,A,21
Chennai,0.00392627134255363,0.010529053324327351,0.0025934340606747984,0.001083607546242952,0.01813236627379873,,0.5806772908366534,0.21653386454183268,,Pod,External Damage/Bruises,,,50-55%,14 stores ▸,0.01728,1.486,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,A,21
Delhi,0.0025313785465668178,0.011696523240386591,0.0031808769894359355,0.0011768689734038714,0.018585647749793217,,0.6293309438470729,0.13620071684587812,,Pod/DEL OPS,Damage in transit,to change,,55-60%,29 stores ▸,0.0162,1.525,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,A,21
Hyderabad,0.0030776968767963213,0.008807961295267293,0.0023082726575972407,0.0008023567733282238,0.014996287602989078,,0.5873427829906169,0.20523058494709526,,,,,,60-65%,69 stores ▸,0.01766,1.461,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,A,21
Kolkata,0.0022846905603027467,0.012127982930241452,0.0035427800758879597,0.0009964068963434886,0.01895186046277565,,0.6399362719065321,0.1205523101433882,,,,,,65-70%,131 stores ▸,0.01711,1.476,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,A,21
Mumbai,0.0036915387768113304,0.012133407714376793,0.0016422651304704222,0.0007741700441732319,0.01824138166583178,,0.6651583710407238,0.20237166484630986,,,,,,70-75%,172 stores ▸,0.01667,1.391,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,A,21
Pune,0.0031802266558932602,0.009846271779891023,0.0022841693082230096,0.0005956450576998778,0.01590631280170717,,0.6190166069684142,0.1999348746336698,,,,,,75-80%,162 stores ▸,0.01684,1.404,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,5826,SKM BEST BROWN EGGS 6.00 PIECES,A,21
