WEEK,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
23,Hyderabad,1237254,WH,3616,1,0.0003
23,Gorakhpur,1400925,Sourcing,560,1,0.0018
23,Lucknow,1403559,Sourcing,824,1,0.0012
23,Mumbai,1400552,WH,1522,1,0.0007
23,Kollam,1400224,Sourcing,3931,1,0.0003
23,Ahmedabad,1386812,WH,2204,2,0.0009
23,Silchar,1402788,WH,4246,1,0.0002
23,Bangalore,1386714,WH,3098,2,0.0006
23,Mumbai,1402806,WH,3313,1,0.0003
23,Nagpur,1397624,Sourcing,1420,7,0.0049
23,Hyderabad,1404748,Pod,3129,42,0.0134
23,Central Goa,1403560,Pod,2001,13,0.0065
23,Delhi,1400548,Sourcing,2338,12,0.0051
23,Delhi,1400967,Pod,1262,16,0.0127
23,Delhi,1399700,CX,4560,22,0.0048
23,Chennai,1400604,Sourcing,3936,11,0.0028
23,Chennai,1404790,CX,1849,5,0.0027
23,Madurai,1402453,Pod,1814,12,0.0066
23,Hyderabad,1392530,CX,3887,16,0.0041
23,Bangalore,1403139,Sourcing,3845,11,0.0029
23,Gurgaon,1394451,CX,2933,17,0.0058
23,Mumbai,1396295,CX,3038,5,0.0016
23,Bangalore,1404944,Sourcing,2387,14,0.0059
23,Bhubaneswar,1398746,Sourcing,3443,10,0.0029
23,Indore,1382165,Pod,2065,14,0.0068
23,Patna,1400979,WH,3178,2,0.0006
23,Chennai,1349401,CX,3714,26,0.007
23,Nizamabad,1404858,Pod,1340,13,0.0097
23,Chennai,1404902,Sourcing,1687,2,0.0012
23,Chennai,1404886,Sourcing,2644,13,0.0049
23,Jaipur,1400222,Pod,1220,13,0.0107
23,Mumbai,1190780,Sourcing,3236,9,0.0028
23,Hyderabad,1402610,Sourcing,3436,5,0.0015
23,Gurgaon,1402253,CX,1030,4,0.0039
23,Gwalior,1403689,Sourcing,651,5,0.0077
23,Hyderabad,1404605,CX,1861,14,0.0075
23,Hyderabad,1402610,WH,3436,3,0.0009
23,Bhubaneswar,1403022,CX,2222,7,0.0032
23,Patna,1402068,CX,2624,10,0.0038
23,Chennai,1404806,CX,2070,7,0.0034
23,Coimbatore,1404926,Sourcing,1851,5,0.0027
23,Bangalore,1380710,WH,2444,4,0.0016
23,Nashik,1397037,CX,1000,3,0.003
23,Patna,1403365,WH,3991,5,0.0013
23,Bangalore,1396660,CX,2619,9,0.0034
23,Gurgaon,1387568,WH,3229,2,0.0006
23,Lucknow,1400974,WH,971,2,0.0021
23,Hyderabad,1401472,WH,5426,3,0.0006
23,Thanjavur,1402069,WH,3074,2,0.0007
23,Mumbai,1385645,WH,4379,3,0.0007
23,Pune,1404643,Sourcing,3419,3,0.0009
23,Anand,1403174,CX,800,3,0.0038
23,Indore,1403836,Sourcing,924,8,0.0087
23,Varanasi,1396292,WH,822,2,0.0024
23,Kolkata,1382982,WH,1930,1,0.0005
23,Mumbai,1319696,WH,1378,3,0.0022
23,Karimnagar,1403837,WH,1220,1,0.0008
23,Pune,1404800,WH,590,1,0.0017
23,Aurangabad,1401651,CX,1402,1,0.0007
23,Ahmedabad,1388195,WH,1814,1,0.0006
23,Kolkata,1401479,WH,993,1,0.001
23,Ludhiana,1404447,Sourcing,1206,2,0.0017
23,Aligarh,1400958,WH,548,1,0.0018
23,Lucknow,1401262,WH,1344,1,0.0007
23,Mumbai,1314371,Pod,3409,54,0.0158
23,Chandigarh,1387906,Pod,2562,27,0.0105
23,Mysore,1386098,Pod,2182,15,0.0069
23,Bangalore,1404452,Sourcing,5094,19,0.0037
23,Ahmedabad,1404453,CX,3130,14,0.0045
23,Meerut,1402620,Sourcing,1013,4,0.0039
23,Hyderabad,1404607,CX,3797,8,0.0021
23,Delhi,1386271,Sourcing,2161,12,0.0056
23,Bangalore,1402670,Pod,1620,25,0.0154
23,Hyderabad,1380523,CX,4244,13,0.0031
23,Noida 1,1404825,Sourcing,1607,12,0.0075
23,Hyderabad,1404789,Pod,2540,20,0.0079
23,Hyderabad,1383129,CX,4179,18,0.0043
23,Varanasi,1394452,Pod,1903,18,0.0095
23,Bangalore,1404583,Sourcing,3625,20,0.0055
23,Bangalore,1384139,CX,2999,8,0.0027
23,Kolkata,1404759,Pod,481,11,0.0229
23,Mumbai,1319696,CX,1378,7,0.0051
23,Delhi,1382494,WH,2252,5,0.0022
23,Hyderabad,1404748,CX,3129,12,0.0038
23,Gurgaon,1392083,CX,2550,11,0.0043
23,Varanasi,1394452,CX,1903,7,0.0037
23,Ahmedabad,1393824,CX,2693,12,0.0045
23,Surat,1403843,Pod,1547,14,0.0091
23,Chennai,1400603,Pod,2892,19,0.0066
23,Nagpur,1403419,Pod,841,5,0.0059
23,Bangalore,1390217,Sourcing,3696,14,0.0038
23,Khammam,1400606,Pod,1677,13,0.0078
23,Hyderabad,762613,Sourcing,2056,8,0.0039
23,Mumbai,1295148,CX,2245,2,0.0009
23,Chennai,1002694,WH,2345,3,0.0013
23,Bangalore,1399695,WH,5556,9,0.0016
23,Mumbai,1401485,Sourcing,3115,6,0.0019
23,Vijayawada,1404856,CX,1459,8,0.0055
23,Noida 1,1402066,WH,1026,3,0.0029
23,Bangalore,1400961,WH,3028,6,0.002
23,Guntur,1395427,CX,2785,11,0.004
23,Noida 1,1397625,WH,3790,2,0.0005
23,Bhopal,1393825,Sourcing,2002,7,0.0035
23,Surat,1397039,Sourcing,1699,5,0.0029
23,Chandigarh,1385943,WH,1331,2,0.0015
23,Amritsar,1397088,CX,2224,4,0.0018
23,Bangalore,1400930,WH,5534,7,0.0013
23,Mumbai,1404907,CX,2049,5,0.0024
23,Kolkata,1400971,CX,1405,3,0.0021
23,Jalandhar,1401284,Sourcing,1142,2,0.0018
23,Surat,1382355,CX,1688,3,0.0018
23,Gorakhpur,1402252,WH,951,2,0.0021
23,Kolkata,1391895,Sourcing,781,1,0.0013
23,Siliguri,1403751,WH,550,2,0.0036
23,Chandigarh,1388997,WH,2735,1,0.0004
23,Vellore,1402269,Sourcing,2088,2,0.001
23,Central Goa,1382351,WH,3097,1,0.0003
23,Allahabad,1402604,Pod,395,1,0.0025
23,Mumbai,1396295,WH,3038,2,0.0007
23,Kanpur,1398751,CX,809,1,0.0012
23,Jaipur,1386095,WH,1824,1,0.0005
23,Kottayam,1403209,WH,1319,1,0.0008
23,Chennai,1385475,CX,1918,7,0.0037
23,Kolkata,1397622,Pod,1937,18,0.0093
23,Pune,1385649,Pod,2450,24,0.0098
23,Kolkata,1402452,Pod,4845,69,0.0142
23,Mumbai,1113109,CX,4766,9,0.0019
23,Chennai,1381276,Sourcing,3696,13,0.0035
23,Ahmedabad,1404453,Pod,3130,21,0.0067
23,Pune,1401652,Pod,3744,59,0.0158
23,Bhopal,1403753,Pod,628,6,0.0096
23,Delhi,1404165,Pod,1585,33,0.0208
23,Noida,1401713,Pod,1555,22,0.0141
23,Kolkata,1400551,Pod,1697,18,0.0106
23,Gurgaon,1401254,Sourcing,4174,21,0.005
23,Hyderabad,1381160,Sourcing,3559,17,0.0048
23,Mumbai,1295148,Sourcing,2245,4,0.0018
23,Pune,1403042,CX,7175,23,0.0032
23,Hyderabad,1396293,CX,5306,22,0.0041
23,Patna,1402807,Sourcing,1565,5,0.0032
23,Bangalore,1390217,CX,3696,6,0.0016
23,Mumbai,1278165,Sourcing,3408,8,0.0023
23,Kolkata,1404788,Pod,1821,14,0.0077
23,Pune,1404615,Pod,2814,39,0.0139
23,Bangalore,1385836,Sourcing,8298,24,0.0029
23,Delhi,1267917,Pod,2129,17,0.008
23,Vizag,1345681,Pod,1303,12,0.0092
23,Pune,1405015,CX,457,3,0.0066
23,Chennai,1404943,WH,2839,3,0.0011
23,Thiruvananthapuram,1404824,WH,2297,3,0.0013
23,Thiruvananthapuram,1387569,Pod,4386,10,0.0023
23,Bangalore,1398438,CX,6748,14,0.0021
23,Kochi,1399702,CX,2532,4,0.0016
23,Pune,1404643,CX,3419,14,0.0041
23,Ludhiana,1397034,CX,1898,3,0.0016
23,Kolkata,1388197,CX,2359,3,0.0013
23,Bangalore,1381157,WH,4534,9,0.002
23,Hyderabad,1397628,CX,1576,5,0.0032
23,Pune,1388453,Sourcing,2842,13,0.0046
23,Bangalore,1395425,CX,8357,10,0.0012
23,Kolkata,1404787,CX,937,5,0.0053
23,Muzaffarpur,1404797,CX,1269,5,0.0039
23,Kolkata,1404626,Sourcing,1527,5,0.0033
23,Pune,1398754,CX,1536,10,0.0065
23,Bhubaneswar,1404842,Sourcing,1231,2,0.0016
23,Mumbai,1384969,Sourcing,2518,4,0.0016
23,Bangalore,1403749,WH,2229,5,0.0022
23,Bangalore,1237709,CX,2304,4,0.0017
23,Pune,1404800,Pod,590,15,0.0254
23,Hyderabad,1401257,CX,1630,3,0.0018
23,Mangaluru,1403470,WH,2445,2,0.0008
23,Vellore,1397627,Sourcing,3089,6,0.0019
23,Faridabad,1390226,WH,1387,2,0.0014
23,Hyderabad,1381355,WH,3821,2,0.0005
23,Chennai,1386266,WH,2246,2,0.0009
23,Delhi,1381835,CX,346,1,0.0029
23,Mumbai,1402062,WH,1408,2,0.0014
23,Jamshedpur,1403141,WH,1668,2,0.0012
23,Jaipur,1400222,WH,1220,1,0.0008
23,Bangalore,1393565,CX,1748,2,0.0011
23,Cuttack,1403140,Sourcing,2442,3,0.0012
23,Kolkata,1388197,WH,2359,1,0.0004
23,Davanagere,1400966,WH,1698,1,0.0006
23,Kolkata,1404586,WH,1779,1,0.0006
23,Hyderabad,1404664,Sourcing,1552,1,0.0006
23,Bangalore,1403515,Pod,929,14,0.0151
23,Delhi,1062420,CX,1907,10,0.0052
23,Mumbai,1404993,Pod,818,13,0.0159
23,Bangalore,1401716,Pod,4789,50,0.0104
23,Hyderabad,1404855,Pod,2238,35,0.0156
23,Mumbai,1401485,Pod,3115,18,0.0058
23,Rudrapur,1402787,Sourcing,1057,3,0.0028
23,Bangalore,1380447,Pod,3397,45,0.0132
23,Chennai,1386448,Sourcing,3141,8,0.0025
23,Hyderabad,1404582,Sourcing,2247,10,0.0045
23,Mumbai,1396295,Sourcing,3038,4,0.0013
23,Delhi,1386536,Sourcing,4076,20,0.0049
23,Bangalore,1402605,Sourcing,4676,15,0.0032
23,Chennai,1399698,Sourcing,3536,10,0.0028
23,Hyderabad,886521,Pod,4146,24,0.0058
23,Ujjain,1401277,CX,1075,6,0.0056
23,Central Goa,1394682,Pod,2832,17,0.006
23,Hyderabad,762613,WH,2056,2,0.001
23,Bangalore,1373485,Pod,4637,34,0.0073
23,Karaikkudi,1403759,Pod,2483,16,0.0064
23,Pune,1404643,Pod,3419,30,0.0088
23,Vizag,1382440,Pod,2191,14,0.0064
23,Chandigarh,1387905,Sourcing,1926,5,0.0026
23,Kolkata,1404787,Pod,937,18,0.0192
23,Hyderabad,988472,Pod,2575,36,0.014
23,Bangalore,1401110,Pod,2570,24,0.0093
23,Belgaum,1400605,Sourcing,1226,5,0.0041
23,Noida 1,1404849,Pod,867,15,0.0173
23,Thanjavur,1403456,Sourcing,2759,3,0.0011
23,Ahmedabad,1385642,CX,1288,3,0.0023
23,Siliguri,1404649,Sourcing,1270,3,0.0024
23,Bangalore,1403224,Pod,1432,15,0.0105
23,Kochi,1382427,CX,4791,11,0.0023
23,Mumbai,1403842,CX,3706,12,0.0032
23,Bangalore,1403138,CX,5134,18,0.0035
23,Vizag,1402270,Pod,1232,4,0.0032
23,Hyderabad,737088,Sourcing,2609,9,0.0035
23,Kolkata,1401479,Pod,993,4,0.004
23,Bangalore,1400215,WH,8010,3,0.0004
23,Chennai,1404804,Sourcing,986,4,0.0041
23,Rajkot,1395731,Sourcing,1519,4,0.0026
23,Pune,1402466,Sourcing,1230,2,0.0016
23,Bhubaneswar,1404444,WH,4573,2,0.0004
23,Nagpur,1392532,WH,1626,4,0.0025
23,Belgaum,1400217,CX,2212,1,0.0005
23,Coimbatore,1388684,WH,2408,1,0.0004
23,Chennai,1404588,WH,2324,2,0.0009
23,Mumbai,1404907,WH,2049,2,0.001
23,Nagpur,1392084,WH,1782,1,0.0006
23,Vizag,1402270,WH,1232,1,0.0008
23,Delhi,1399699,Sourcing,1325,1,0.0008
23,Guwahati,1404864,WH,732,1,0.0014
23,Noida,1401661,WH,1644,1,0.0006
23,Kolkata,1237258,WH,2419,2,0.0008
23,Bathinda,1403512,WH,1172,1,0.0009
23,Pune,1388314,WH,1874,1,0.0005
23,Mumbai,1390224,WH,3727,1,0.0003
23,Delhi,1389689,Pod,2393,35,0.0146
23,Ahmedabad,1401245,Pod,1795,18,0.01
23,Gurgaon,1383827,Pod,2674,36,0.0135
23,Pune,1400557,Sourcing,2438,9,0.0037
23,Pune,1403453,Pod,2312,33,0.0143
23,Hyderabad,1061926,WH,4115,6,0.0015
23,Hyderabad,1404893,CX,2964,17,0.0057
23,Bangalore,1190778,Pod,4780,52,0.0109
23,Bangalore,1403723,Sourcing,3754,14,0.0037
23,Dehradun,1388685,Pod,2253,28,0.0124
23,Bangalore,1380710,Pod,2444,43,0.0176
23,Hyderabad,1400561,CX,3739,24,0.0064
23,Hyderabad,1404607,Pod,3797,49,0.0129
