WEEK,CITY,Basic Reason for IGCC,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Agra,Taste / water content,Sourcing,408,1,0.0025
9,Rajkot,Taste / water content,Sourcing,552,1,0.0018
9,Varanasi,Taste / water content,Sourcing,951,1,0.0011
9,Khammam,Shrivelled / Dry,WH,853,1,0.0012
9,Thiruvananthapuram,Overripe,Pod,7384,1,0.0001
9,Warangal,Raw,Sourcing,1328,3,0.0023
9,Vadodara,Internal Rotten,Sourcing,1456,5,0.0034
9,Karnal,External Damage/Bruises,Pod,174,1,0.0057
9,Kakinada,External Damage/Bruises,Pod,612,2,0.0033
9,Faridabad,Shrivelled / Dry,WH,2714,1,0.0004
9,Surat,Taste / water content,Sourcing,1640,1,0.0006
9,Vijayawada,External Damage/Bruises,Pod,3049,13,0.0043
9,Manipal,External Rotten/ Fungal,Pod,1382,1,0.0007
9,Bathinda,External Damage/Bruises,Pod,196,2,0.0102
9,Kolkata,External Damage/Bruises,Pod,18917,40,0.0021
9,Chennai,Internal Rotten,Sourcing,47945,13,0.0003
9,Jaipur,Customer perception / Wrong claim,CX,3924,17,0.0043
9,Patna,Internal Rotten,Sourcing,3054,1,0.0003
9,Mangaluru,External Rotten/ Fungal,Pod,3341,2,0.0006
9,Vijayawada,Underweight (packing issue),WH,3049,2,0.0007
9,Thiruvananthapuram,External Damage/Bruises,Pod,7384,31,0.0042
9,Moradabad,External Damage/Bruises,Pod,396,1,0.0025
9,Mangaluru,Customer perception / Wrong claim,CX,3341,5,0.0015
9,Thiruvananthapuram,Customer perception / Wrong claim,CX,7384,7,0.0009
9,Noida,External Rotten/ Fungal,Pod,3711,11,0.003
9,Patna,External Damage/Bruises,Pod,3054,17,0.0056
9,Ahmedabad,Internal Rotten,Sourcing,7274,11,0.0015
9,Kochi,Customer perception / Wrong claim,CX,15667,20,0.0013
9,Amritsar,Internal Rotten,Sourcing,527,2,0.0038
9,Kochi,Underweight (packing issue),WH,15667,2,0.0001
9,Kakinada,Raw,Sourcing,612,2,0.0033
9,Gurgaon,Overripe,Pod,15572,3,0.0002
9,Panipat,External Damage/Bruises,Pod,686,6,0.0087
9,Indore,Raw,Sourcing,2094,2,0.001
9,Faridabad,Taste / water content,Sourcing,2714,5,0.0018
9,Vijayawada,Customer perception / Wrong claim,CX,3049,4,0.0013
9,Bangalore,External Damage/Bruises,Pod,105648,449,0.0043
9,Rohtak,Customer perception / Wrong claim,CX,437,3,0.0069
9,Faridabad,Raw,Sourcing,2714,7,0.0026
9,Gurgaon,Customer perception / Wrong claim,CX,15572,34,0.0022
9,Chandigarh,Raw,Sourcing,7431,15,0.002
9,Thiruvalla,External Damage/Bruises,Pod,690,2,0.0029
9,Kollam,External Damage/Bruises,Pod,1522,2,0.0013
9,Karimnagar,External Rotten/ Fungal,Pod,485,1,0.0021
9,Lucknow,Customer perception / Wrong claim,CX,3430,1,0.0003
9,Karimnagar,Shrivelled / Dry,WH,485,1,0.0021
9,Noida 1,Underweight (packing issue),WH,10877,1,0.0001
9,Dibrugarh,External Damage/Bruises,Pod,425,7,0.0165
9,Ahmedabad,External Damage/Bruises,Pod,7274,62,0.0085
9,Agra,External Damage/Bruises,Pod,408,2,0.0049
9,Bhopal,Customer perception / Wrong claim,CX,1269,5,0.0039
9,Varanasi,Customer perception / Wrong claim,CX,951,1,0.0011
9,Hubli,External Damage/Bruises,Pod,527,3,0.0057
9,Thiruvallur,External Damage/Bruises,Pod,464,3,0.0065
9,Chennai,Damage in transit,Pod,47945,7,0.0001
9,Central Goa,External Rotten/ Fungal,Pod,5440,5,0.0009
9,Lucknow,Internal Rotten,Sourcing,3430,1,0.0003
9,Ambala,Underweight (packing issue),WH,364,1,0.0027
9,Kurnool,Customer perception / Wrong claim,CX,839,3,0.0036
9,Chandigarh,Overripe,Pod,7431,1,0.0001
9,Ludhiana,External Damage/Bruises,Pod,1486,15,0.0101
9,Madurai,External Rotten/ Fungal,Pod,1397,2,0.0014
9,Bangalore,Incorrect size (sourcing issue),Sourcing,105648,22,0.0002
9,Mysore,External Damage/Bruises,Pod,3562,10,0.0028
9,Jaipur,Internal Rotten,Sourcing,3924,4,0.001
9,Delhi,Customer perception / Wrong claim,CX,29995,76,0.0025
10,Rajahmundry,Shrivelled / Dry,WH,3473,1,0.0003
10,Thanjavur,Taste / water content,Sourcing,5435,1,0.0002
10,Bikaner,Raw,Sourcing,1411,2,0.0014
10,Jamshedpur,Taste / water content,Sourcing,5668,1,0.0002
10,Raipur,Underweight (packing issue),WH,5019,1,0.0002
