week num ,37,,,,,,,,,,,,,,,,37,,,,,,,,,,,
Spoc Level,,,,,,,,,,,,,,,,,,,,,SKU_Code,SKUName,Shelf Life,,,,,
,,0.005996688935980848,0.0025700095439917924,0.1284763948497854,0.19999999999999998,,,,,,,,,,,,,,,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,21,,SKU_Code,SKUName,Symboll,Shelf Life
,,,,,,,,,,,,,,,,,,,,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,21,,8178,EGGOZ BROWN FARM FRESH EGGS 10.00 PIECES,A,21
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,SPOC,Basic Reason for IGCC,,,FEFO band,Stores,Band QnP % (pooled),Band DOH (pooled),,,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,21,,27252,EGGOZ FARM FRESH HIGH PROTEIN WHITE EGGS BOX 30.00 PIECES,A,21
Bangalore,0.004613167846906931,0.00856669847997264,0.003567192134720527,0.003256690452717176,0.020003748914317276,,0.42825464949928466,0.23061516452074393,,Pod,External Rotten/ Fungal,,,<50%,1 stores ▸,0.02026,1.596,,,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,21,,8176,EGGOZ WHITE FARM FRESH EGGS 10.00 PIECES,A,21
Chennai,0.00567253433717307,0.011834144136466874,0.0028307094928806172,0.0030863625753528197,0.023423750541873383,,0.5052198671306548,0.2421701993040177,,Pod,External Damage/Bruises,,,50-55%,14 stores ▸,0.01728,1.486,,,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,21,,8175,EGGOZ WHITE HERBAL FEED EGGS 6.00 PIECES,A,21
Delhi,0.004825544891918557,0.009341644990582114,0.004273925912637905,0.0017983675665979011,0.02023948336173648,,0.4615555063150897,0.23842233547529357,,Pod/DEL OPS,Damage in transit,to change,,55-60%,29 stores ▸,0.0162,1.525,,,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,21,,6881,FARM MADE FREE RANGE BROWN EGGS-VEG FED & NON FERTILE 6.00 PIECES,A,21
Hyderabad,0.0053813389940314555,0.008366989675658538,0.0031290060236812,0.003862323734958027,0.02073965842832922,,0.40342948291904823,0.25947095573574375,,,,,,60-65%,69 stores ▸,0.01766,1.461,,,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,21,,1723,HEN FRUIT PROTEIN RICH HEN WHITE EGGS 10.00 PIECES,A,21
Kolkata,0.004030296713223543,0.008963935793204087,0.003173279596043824,0.0026868644754823616,0.018854376577953816,,0.47542997542997545,0.21375921375921375,,,,,,65-70%,131 stores ▸,0.01711,1.476,,,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,21,,4001,HEN FRUIT FARM WHITE EGGS 30.00 PIECES,A,21
Mumbai,0.004065206376200488,0.008564306556164495,0.0029062148735301482,0.002370399706466474,0.017906127512361605,,0.47828915270775735,0.22702878516832006,,,,,,70-75%,172 stores ▸,0.01667,1.391,,,,5826,SKM BEST BROWN EGGS 6.00 PIECES,21,,56620,HEN FRUIT TABLE WHITE EGG 30PCS 30.00 PIECES,A,21
Pune,0.005545230556884016,0.008336007070774334,0.002615217904556654,0.002911851416879052,0.019408306949094057,,0.42950717404865874,0.2857142857142857,,,,,,75-80%,162 stores ▸,0.01684,1.404,,,,5825,SKM BEST PLUS EGGS 12.00 PIECES,21,,5826,SKM BEST BROWN EGGS 6.00 PIECES,A,21
