Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/11/2026-Karur-5802,Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),33,Karur,5802,Betel Leaf and Nut,1,9,Shrivelled / Dry (1.00)
8/11/2026-Thiruvalla-8962,Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),33,Thiruvalla,8962,Robusta Banana Mini Pack,1,39,Internal Rotten (1.00)
8/15/2026-Tirupati-1101,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Tirupati,1101,Papaya,1,11,Underweight (packing issue) (1.00)
8/10/2026-Jamshedpur-1007,Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),33,Jamshedpur,1007,Yelakki Banana,1,10,Customer perception / Wrong claim (1.00)
8/10/2026-Ranchi-3796,Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),33,Ranchi,3796,Lemon,1,116,External Damage/Bruises (1.00)
8/16/2026-Hubli-11581,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Hubli,11581,Papaya,1,6,External Damage/Bruises (1.00)
8/12/2026-Nashik-1101,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Nashik,1101,Papaya,1,4,Raw (1.00)
8/15/2026-Kurnool-1095,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Kurnool,1095,Button Mushroom,1,50,External Damage/Bruises (1.00)
8/11/2026-Nagpur-7462,Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),33,Nagpur,7462,Round Green Brinjal,1,12,Customer perception / Wrong claim (1.00)
8/16/2026-Karimnagar-2116,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Karimnagar,2116,Onion,1,254,External Damage/Bruises (1.00)
8/11/2026-Vapi-1108,Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),33,Vapi,1108,Potato,1,130,Customer perception / Wrong claim (1.00)
8/11/2026-Agra-4601,Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),33,Agra,4601,Ooty Carrot (Carrot),1,9,External Damage/Bruises (1.00)
8/12/2026-Palakkad-6483,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Palakkad,6483,Mandarin Orange,1,22,Customer perception / Wrong claim (1.00)
8/12/2026-Kurnool-6331,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Kurnool,6331,Fenugreek,1,,Customer perception / Wrong claim (1.00)
8/12/2026-Khammam-1292,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Khammam,1292,Lettuce Iceberg,1,,External Damage/Bruises (1.00)
