WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
9,Noida 1,WH,10877,3,0.0003
9,Kolkata,Sourcing,18917,1,0.0001
9,Mangaluru,Sourcing,3341,1,0.0003
9,Ujjain,Sourcing,420,1,0.0024
9,Warangal,Pod,1328,15,0.0113
9,Rajahmundry,Sourcing,564,1,0.0018
9,Jalandhar,Pod,361,1,0.0028
9,Noida,WH,3711,2,0.0005
9,Kollam,Sourcing,1522,1,0.0007
9,Mumbai,Sourcing,66888,37,0.0006
9,Aligarh,Pod,182,2,0.011
9,Kolhapur,Pod,323,2,0.0062
9,Delhi,CX,29995,76,0.0025
9,Vizag,CX,3123,7,0.0022
9,Pune,CX,28752,93,0.0032
9,Gurgaon,Sourcing,15572,12,0.0008
9,Noida,Pod,3711,22,0.0059
9,Hyderabad,WH,62077,12,0.0002
9,Pune,Sourcing,28752,13,0.0005
9,Karaikkudi,WH,340,4,0.0118
9,Hyderabad,Sourcing,62077,14,0.0002
9,Patiala,CX,646,3,0.0046
9,Lucknow,Sourcing,3430,1,0.0003
9,Salem,CX,1301,1,0.0008
9,Jhansi,Sourcing,237,1,0.0042
9,Tirupur,Pod,910,1,0.0011
9,Mangaluru,Sourcing,3341,2,0.0006
9,Thiruvananthapuram,WH,7384,1,0.0001
9,Lonavla,CX,117,1,0.0085
9,Raipur,CX,718,1,0.0014
9,Latur,Pod,146,1,0.0068
9,Jaipur,CX,3924,17,0.0043
9,Indore,Sourcing,2094,2,0.001
9,Kurnool,Pod,839,1,0.0012
9,Manipal,Sourcing,1382,1,0.0007
9,Cuttack,WH,473,1,0.0021
9,Thoothukudi,Sourcing,777,1,0.0013
9,Aligarh,Sourcing,182,1,0.0055
9,Pondicherry,Pod,2064,1,0.0005
9,Patiala,Pod,646,4,0.0062
9,Hubli,Pod,527,3,0.0057
9,Bangalore,Pod,105648,449,0.0043
9,Amravati,Pod,242,3,0.0124
9,Nashik,Pod,1160,8,0.0069
9,Madurai,CX,1397,4,0.0029
9,Indore,Pod,2094,11,0.0053
9,Mangaluru,Pod,3341,9,0.0027
9,Vijayawada,Sourcing,3049,4,0.0013
9,Faridabad,Sourcing,2714,7,0.0026
9,Pondicherry,Pod,2064,6,0.0029
9,Gurgaon,WH,15572,3,0.0002
9,Vellore,Pod,1129,2,0.0018
9,Cuttack,CX,473,1,0.0021
9,Karaikkudi,Pod,340,2,0.0059
9,Bhubaneswar,Sourcing,4419,1,0.0002
9,Kanchipuram,CX,596,1,0.0017
9,Manipal,Sourcing,1382,2,0.0014
9,Panipat,Pod,686,2,0.0029
9,Nizamabad,CX,83,1,0.012
9,Khammam,Pod,853,5,0.0059
9,Kanpur,Sourcing,848,2,0.0024
9,Thiruvallur,Pod,464,3,0.0065
9,Chandigarh,Sourcing,7431,15,0.002
9,Thrissur,Pod,3545,6,0.0017
9,Kochi,Pod,15667,4,0.0003
9,Delhi,Sourcing,29995,6,0.0002
9,Agra,Sourcing,408,1,0.0025
9,Gwalior,Sourcing,709,1,0.0014
9,Jamshedpur,Pod,800,2,0.0025
9,Bangalore,Sourcing,105648,77,0.0007
9,Mumbai,Sourcing,66888,77,0.0012
9,Mumbai,WH,66888,17,0.0003
9,Varanasi,Sourcing,951,2,0.0021
9,Central Goa,Sourcing,5440,2,0.0004
9,Chennai,WH,47945,13,0.0003
9,Agra,Pod,408,2,0.0049
9,Ahmedabad,Pod,7274,6,0.0008
9,Kurnool,CX,839,3,0.0036
9,Lonavla,Sourcing,117,1,0.0085
9,Noida,Sourcing,3711,3,0.0008
9,Chandigarh,WH,7431,1,0.0001
9,Ujjain,CX,420,1,0.0024
9,Hyderabad,Pod,62077,1,0
9,Allahabad,Pod,150,1,0.0067
9,Nagpur,Sourcing,1184,1,0.0008
9,Nagpur,Pod,1184,1,0.0008
9,Latur,Sourcing,146,1,0.0068
9,Moradabad,Pod,396,1,0.0025
9,Agra,CX,408,1,0.0025
9,Faridabad,WH,2714,1,0.0004
9,Surat,Pod,1640,10,0.0061
9,Kolkata,Pod,18917,3,0.0002
9,Aurangabad,Pod,448,2,0.0045
9,Bangalore,WH,105648,29,0.0003
9,Faridabad,CX,2714,10,0.0037
9,Ahmedabad,CX,7274,33,0.0045
9,Bangalore,Sourcing,105648,22,0.0002
9,Bareilly,Pod,399,4,0.01
9,Panipat,CX,686,2,0.0029
9,Jodhpur,Pod,300,1,0.0033
9,Ludhiana,WH,1486,1,0.0007
9,Belgaum,Sourcing,653,1,0.0015
9,Amritsar,Sourcing,527,2,0.0038
9,Mysore,WH,3562,1,0.0003
9,Mysore,WH,3562,2,0.0006
9,Raipur,Sourcing,718,1,0.0014
9,Dehradun,WH,2095,1,0.0005
9,Mathura,Pod,183,1,0.0055
9,Guwahati,Pod,1089,1,0.0009
9,Gorakhpur,Pod,214,2,0.0093
9,Ajmer,CX,250,1,0.004
9,Tirunelveli,Pod,886,2,0.0023
9,Aligarh,Pod,182,1,0.0055
9,Kolkata,Pod,18917,34,0.0018
9,Madurai,Pod,1397,9,0.0064
9,Delhi,Pod,29995,149,0.005
9,Ahmedabad,Pod,7274,62,0.0085
9,Gurgaon,CX,15572,34,0.0022
9,Noida,Sourcing,3711,5,0.0013
9,Kochi,Sourcing,15667,4,0.0003
9,Kurnool,Pod,839,10,0.0119
9,Ambala,Pod,364,3,0.0082
9,Panipat,Pod,686,6,0.0087
9,Bhubaneswar,Pod,4419,15,0.0034
9,Thiruvananthapuram,Pod,7384,5,0.0007
9,Jaipur,Sourcing,3924,4,0.001
9,Khammam,WH,853,1,0.0012
9,Varanasi,Sourcing,951,1,0.0011
9,Chennai,Pod,47945,3,0.0001
9,Thanjavur,CX,857,1,0.0012
9,Bhopal,Sourcing,1269,1,0.0008
9,Amritsar,Pod,527,1,0.0019
9,Patiala,Pod,646,1,0.0015
9,Nagercoil,Pod,553,3,0.0054
9,Bhopal,Pod,1269,9,0.0071
9,Ahmedabad,Sourcing,7274,11,0.0015
9,Chandigarh,Sourcing,7431,6,0.0008
9,Pune,WH,28752,7,0.0002
9,Bhubaneswar,Sourcing,4419,1,0.0002
9,Thiruvananthapuram,WH,7384,1,0.0001
9,Hyderabad,CX,62077,181,0.0029
9,Pune,Sourcing,28752,13,0.0005
9,Hyderabad,Sourcing,62077,7,0.0001
9,Anantapur,Pod,602,2,0.0033
9,Kakinada,WH,612,1,0.0016
9,Thiruvalla,Pod,690,2,0.0029
9,Rudrapur,CX,211,1,0.0047
9,Karaikkudi,Pod,340,1,0.0029
9,Noida 1,Sourcing,10877,3,0.0003
9,Kurnool,WH,839,1,0.0012
9,Amritsar,Pod,527,2,0.0038
9,Karnal,CX,174,1,0.0057
9,Karnal,Sourcing,174,1,0.0057
9,Rohtak,Sourcing,437,1,0.0023
9,Shivamogga,Pod,585,2,0.0034
9,Dibrugarh,CX,425,6,0.0141
9,Lucknow,Sourcing,3430,1,0.0003
9,Trichy,Sourcing,1383,1,0.0007
9,Thanjavur,Sourcing,857,1,0.0012
9,Chennai,CX,47945,155,0.0032
9,Gurgaon,Sourcing,15572,45,0.0029
9,Central Goa,Pod,5440,22,0.004
9,Bangalore,CX,105648,253,0.0024
9,Noida 1,Pod,10877,48,0.0044
9,Delhi,Sourcing,29995,46,0.0015
9,Vizag,Sourcing,3123,5,0.0016
9,Jaipur,Sourcing,3924,6,0.0015
9,Chennai,Sourcing,47945,15,0.0003
9,Kozhikode,Sourcing,2259,2,0.0009
9,Sri Ganganagar,Pod,485,5,0.0103
9,Mangaluru,Sourcing,3341,3,0.0009
9,Bhubaneswar,Sourcing,4419,2,0.0005
9,Khammam,Sourcing,853,1,0.0012
9,Tirupati,WH,1937,1,0.0005
9,Patna,CX,3054,8,0.0026
9,Warangal,Sourcing,1328,3,0.0023
9,Thrissur,Sourcing,3545,1,0.0003
9,Kannur,Pod,363,1,0.0028
9,Varanasi,Pod,951,2,0.0021
9,Rajahmundry,Pod,564,1,0.0018
9,Bikaner,Pod,159,4,0.0252
9,Chennai,Pod,47945,328,0.0068
9,Bhubaneswar,CX,4419,4,0.0009
9,Coimbatore,CX,5090,9,0.0018
9,Vijayawada,Pod,3049,13,0.0043
9,Indore,Pod,2094,5,0.0024
9,Pune,Sourcing,28752,9,0.0003
9,Kolkata,Sourcing,18917,8,0.0004
9,Faridabad,Sourcing,2714,5,0.0018
9,Guntur,Pod,1694,6,0.0035
9,Mysore,Sourcing,3562,1,0.0003
9,Karimnagar,Sourcing,485,1,0.0021
9,Sri Ganganagar,CX,485,1,0.0021
9,Kurnool,Sourcing,839,2,0.0024
9,Pune,Pod,28752,1,0
9,Thiruvallur,CX,464,1,0.0022
9,Rudrapur,Sourcing,211,2,0.0095
9,Jaipur,WH,3924,3,0.0008
9,Vizianagaram,Sourcing,125,1,0.008
9,Vijayawada,WH,3049,2,0.0007
9,Gurgaon,Pod,15572,3,0.0002
9,Bangalore,Sourcing,105648,68,0.0006
9,Surat,WH,1640,2,0.0012
9,Delhi,Pod,29995,5,0.0002
9,Noida 1,CX,10877,23,0.0021
9,Noida 1,Sourcing,10877,17,0.0016
9,Thanjavur,Pod,857,2,0.0023
9,Manipal,Pod,1382,7,0.0051
9,Manipal,CX,1382,4,0.0029
9,Hyderabad,Sourcing,62077,22,0.0004
9,Hyderabad,Pod,62077,11,0.0002
9,Bathinda,Sourcing,196,1,0.0051
9,Nanded,Pod,113,1,0.0089
9,Mumbai,CX,66888,173,0.0026
9,Bhopal,Sourcing,1269,4,0.0032
9,Chennai,Pod,47945,4,0.0001
9,Raipur,Pod,718,8,0.0111
9,Palakkad,Sourcing,528,1,0.0019
9,Dehradun,Sourcing,2095,1,0.0005
9,Belgaum,Pod,653,1,0.0015
9,Vellore,CX,1129,1,0.0009
9,Faridabad,Pod,2714,21,0.0077
9,Ajmer,Pod,250,2,0.008
9,Surat,Sourcing,1640,3,0.0018
9,Varanasi,CX,951,1,0.0011
9,Kolkata,Pod,18917,40,0.0021
9,Mysore,Sourcing,3562,3,0.0008
9,Noida,Pod,3711,11,0.003
9,Rohtak,CX,437,3,0.0069
9,Indore,Sourcing,2094,3,0.0014
9,Chandigarh,Pod,7431,7,0.0009
9,Davanagere,Sourcing,268,1,0.0037
9,Agra,Sourcing,408,1,0.0025
9,Ahmedabad,Sourcing,7274,2,0.0003
9,Ranchi,CX,1184,1,0.0008
9,Warangal,Pod,1328,2,0.0015
9,Salem,WH,1301,1,0.0008
9,Hubli,Pod,527,1,0.0019
9,Siliguri,Pod,356,2,0.0056
9,Varanasi,Sourcing,951,1,0.0011
9,Vadodara,CX,1456,1,0.0007
9,Jaipur,WH,3924,3,0.0008
9,Mumbai,WH,66888,19,0.0003
9,Bangalore,WH,105648,25,0.0002
9,Mumbai,Pod,66888,353,0.0053
9,Delhi,Pod,29995,68,0.0023
9,Jaipur,Pod,3924,34,0.0087
9,Vizag,Pod,3123,10,0.0032
9,Vijayawada,CX,3049,4,0.0013
9,Coimbatore,Pod,5090,3,0.0006
9,Delhi,WH,29995,5,0.0002
9,Thiruvananthapuram,Sourcing,7384,3,0.0004
9,Guntur,Sourcing,1694,1,0.0006
9,Vizag,Pod,3123,3,0.001
9,Chennai,Sourcing,47945,13,0.0003
9,Shivamogga,Pod,585,1,0.0017
9,Mumbai,Pod,66888,2,0
9,Ambala,WH,364,1,0.0027
9,Jabalpur,Sourcing,536,1,0.0019
9,Vapi,Sourcing,619,1,0.0016
9,Kanpur,Sourcing,848,1,0.0012
9,Kochi,WH,15667,2,0.0001
9,Kozhikode,Pod,2259,5,0.0022
9,Kanpur,Pod,848,3,0.0035
9,Coimbatore,Sourcing,5090,3,0.0006
9,Nizamabad,Pod,83,2,0.0241
9,Coimbatore,Pod,5090,26,0.0051
9,Central Goa,Pod,5440,5,0.0009
9,Trichy,Pod,1383,7,0.0051
9,Madurai,Pod,1397,2,0.0014
9,Ludhiana,Sourcing,1486,4,0.0027
9,Bhopal,CX,1269,5,0.0039
9,Vapi,Pod,619,1,0.0016
9,Jabalpur,Sourcing,536,1,0.0019
9,Hubli,Sourcing,527,2,0.0038
