DT,WEEK,MT,CITY,STORE_ID,SPOC,ORDERS_TOTAL,IGCC,inc_%
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Mumbai,1392531,Pod,445,1,0.0022
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Gurgaon,1387568,Sourcing,522,1,0.0019
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Bhubaneswar,1404808,WH,368,1,0.0027
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Bhubaneswar,1404808,Pod,368,1,0.0027
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,CX,779,2,0.0026
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,2,0.0026
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,CX,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1380712,Pod,779,1,0.0013
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1401257,Pod,330,1,0.003
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1401257,Pod,330,1,0.003
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Hyderabad,1401257,Pod,330,1,0.003
Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),29,Jul'26,Bangalore,1395721,CX,1170,1,0.0009
