Unique ID,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
33-Bangalore-998871,33,Bangalore,998871,Premium Thai Guava,66,,"External Damage/Bruises (32.00), Raw (11.00), External Rotten/ Fungal (8.00), Customer perception / Wrong claim (7.00), Internal Rotten (6.00), Overripe (1.00), Taste / water content (1.00)"
33-Bhimavaram-1079,33,Bhimavaram,1079,Imported Red Globe Grapes,1,,External Damage/Bruises (1.00)
33-Delhi-669587,33,Delhi,669587,Rambhutan (Jungle Litchi),1,,Customer perception / Wrong claim (1.00)
33-Bangalore-910365,33,Bangalore,910365,Westfalia Guacamole Spiced,12,,"External Damage/Bruises (10.00), Customer perception / Wrong claim (1.00), Internal Rotten (1.00)"
33-Bangalore-208289,33,Bangalore,208289,Lettuce Green - Protected Cultivation,7,,"External Rotten/ Fungal (4.00), Shrivelled / Dry (2.00), External Damage/Bruises (1.00)"
33-Bangalore-993186,33,Bangalore,993186,Imported Snacky Apple,32,,"External Damage/Bruises (14.00), Customer perception / Wrong claim (9.00), Shrivelled / Dry (3.00), Incorrect size (sourcing issue) (2.00), External Rotten/ Fungal (2.00), Underweight (packing issue) (1.00), Taste / water content (1.00)"
33-Anantapur-20422,33,Anantapur,20422,Daily Apple,2,,"Incorrect size (sourcing issue) (1.00), Customer perception / Wrong claim (1.00)"
33-Anantapur-1068,33,Anantapur,1068,Sweet Corn,2,,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
33-Nellore-17060,33,Nellore,17060,Mango Neelam,2,,"Raw (1.00), External Damage/Bruises (1.00)"
33-Mumbai-993186,33,Mumbai,993186,Imported Snacky Apple,6,,"Customer perception / Wrong claim (4.00), External Damage/Bruises (2.00)"
33-Nellore-8689,33,Nellore,8689,Hybrid Tomato,2,,"External Rotten/ Fungal (1.00), Customer perception / Wrong claim (1.00)"
33-Noida 1-798681,33,Noida 1,798681,The Flora Three Purple Roses,2,,Shrivelled / Dry (2.00)
33-Eluru-2116,33,Eluru,2116,Onion,2,,"External Damage/Bruises (1.00), External Rotten/ Fungal (1.00)"
33-Shivamogga-598792,33,Shivamogga,598792,Superplum Premium Chausa Mangoes,1,,External Damage/Bruises (1.00)
33-Gurgaon-918705,33,Gurgaon,918705,Pear Nashpati,7,,"External Damage/Bruises (5.00), Customer perception / Wrong claim (1.00), Underweight (packing issue) (1.00)"
33-Ongole-3796,33,Ongole,3796,Lemon,1,,Customer perception / Wrong claim (1.00)
33-Nellore-1095,33,Nellore,1095,Button Mushroom,1,,External Damage/Bruises (1.00)
33-Bangalore-678939,33,Bangalore,678939,nectr Ooty Potato,2,,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
