Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 03 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 02 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 01 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 31 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 30 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 29 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Delhi,DP,Raw,0,0,0.0008565555047967108,0.0004269854824935952,0.00034062523654530315,0.0007947922186057073,0.00047522063815342837,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0,0,0.00316925536774783,0.0020035472640084085,0.00071909772159564,0.0005677087275755053,0.0006788866259334691,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0,0,0.00022841480127912289,0.000525520593838271,0.0002649307395352358,0.00041631973355537054,0.0003054989816700611,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0,0,0.002800099411813437,0.0027379990938995805,0.0027346921334871596,0.0026398182822763828,0.003824384274131865,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0,0,0.006362356059978461,0.005791163551125731,0.005490749049267188,0.006343749360509137,0.005851307939421753,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0,0,0.0008450004142158893,0.0008076112435243367,0.0009614152031790796,0.0011255039188000082,0.0012238029677221968,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0,0,0.0001988236268743269,0.00017728051687119586,0.0002777421698072897,0.00012278224568727363,0.0001720972923359339,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0,0,0.00023196089802004805,0.000393956704158213,0.00034183651668589495,0.00024556449137454726,0.0001529753709652746,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0,0,0.0006296081517687018,0.0008076112435243367,0.0007904969448361321,0.0005320563979781857,0.0002868288205598899,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0,0,0.0017728440062960815,0.000393956704158213,0.0004059308635645003,0.0004092741522909121,0.0002868288205598899,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0,0,0.000662745422914423,0.00037425886895030237,0.0005127547750288425,0.00034788302944727524,0.0003059507419305492,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0,0,0.002823739225205588,0.002780503761858031,0.0028419856006062904,0.0022764900662251655,0.005177372962607862,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0,0,0.004557614188051125,0.004416094210009814,0.005431350258936466,0.0041390728476821195,0.008565036752956216,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0,0,0.0049539284652729615,0.0034892596227238033,0.004105090311986864,0.0040700883002207505,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0,0,0.0010898642623600515,0.0017446298113619016,0.0010104837691044587,0.0020695364238410598,0.0007031000319590924,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0,0,0.0003963142772218369,0.0009268345872860103,0.0007578628268283441,0.0006898454746136866,0.0003835091083413231,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0,0,0.00009907856930545922,0.0002180787264202377,0.00018946570670708602,0.00020695364238410596,0,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0,0,0.0005449321311800258,0.0002725984080252971,0.00037893141341417203,0.0008967991169977925,0.00044742729306487697,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0,0,0.0004953928465272962,0.0005451968160505942,0.0008841732979664014,0.0003449227373068433,0.0002556727388942154,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0,0,0.0025265035172892104,0.00032711808963035657,0.0003157761778451434,0.0006898454746136866,0.00019175455417066154,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0,0,0.0003467749925691073,0.0006542361792607131,0.0006315523556902868,0.0006898454746136866,0.0002556727388942154,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0,0,0.0026905550630647443,0.002214653937059163,0.0019280205655526992,0.0025283942689729904,0.0023283331424863545,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0,0.000018610537286211452,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0,0,0.006983001290844336,0.0072208884670500436,0.006551123642093043,0.007324316731548742,0.007519370968357571,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0,0,0.0001399710726449867,0.000204715910148326,0.00022804544323741602,0.0003210659389172051,0.00022901637467078896,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0,0,0.0008242740944649217,0.0010421900880278414,0.0011609586201177544,0.0010233976802985912,0.0008015573113477613,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0,0,0.00021773277966997932,0.00027915805929317177,0.0002902396550294386,0.00024079945418790385,0.00038169395778464826,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0,0,0.00018662809685998226,0.00018610537286211452,0.0001451198275147193,0.00016053296945860255,0.00011450818733539448,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0,0,0.0005909889733899438,0.0003908212830104405,0.0005390165021975288,0.0004615322871934824,0.00034352456200618345,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0,0,0.0017107575545498375,0.001395790296465859,0.0005182850982668547,0.0004815989083758077,0.0005725409366769724,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0,0,0.0002643898038849749,0.000409431820296652,0.00018658263537606767,0.0002006662118232532,0.00036260925989541585,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0,0,0.0027181392788329204,0.002895005096839959,0.00364715860899067,0.002487230735065512,0.003727052852781412,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0,0,0.010356454720616571,0.009051987767584098,0.008481764206955046,0.008660892738174551,0.008366044169541256,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0,0,0.001032204789430223,0.001182466870540265,0.0013994910941475826,0.0012880302020874972,0.0011894849530153444,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0,0,0.00020644095788604458,0.00008154943934760448,0.00021204410517387616,0.0002664890073284477,0.00023789699060306887,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.000044414834554741284,0,Tier-1
,,,,,,,,,,,,,,Pune,DP,Overripe,0,0,0.00017203413157170384,0.00016309887869520896,0.00021204410517387616,0.00017765933821896514,0.00031719598747075847,Tier-1
,,,,,,,,,,,,,,Pune,DP,Raw,0,0,0.000722543352601156,0.00032619775739041793,0.00042408821034775233,0.000310903841883189,0.00047579398120613773,Tier-1
,,,,,,,,,,,,,,Pune,WH,Shrivelled / Dry,0,0,0.0033374621524910543,0.0008562691131498471,0.00021204410517387616,0,0.0006343919749415169,Tier-1
,,,,,,,,,,,,,,Pune,WH,Underweight (packing issue),0,0,0.00041288191577208916,0.0003669724770642202,0.00029686174724342663,0.0003553186764379303,0.0003964949843384481,Tier-1
,,,,,,,,,,,,,,Gurgaon,CX,Customer perception / Wrong claim,0,0,0.002546642307479378,0.002033898305084746,0.0021853146853146855,0.002567676619470325,0.0025814778960955146,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0,0,0.007030947240214804,0.007395993836671803,0.007867132867132868,0.005795612941090162,0.007808970635688932,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0,0,0,0,0.00007284382284382284,0.00007336218912772357,0.00006453694740238787,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0,0,0.0006089796822233294,0.0014791987673343605,0.0013111888111888112,0.0014672437825544713,0.0011616650532429815,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0,0,0.0006643414715163594,0.0004930662557781202,0.0005827505827505828,0.000513535323894065,0.0007744433688286545,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.00007336218912772357,0,Tier-1
